ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000073,PTG00081,Harja Winarno,2024-11-15,Transfer
TRX0000074,PTG00091,Agus Pangestu,2024-12-10,Transfer
TRX0000075,PTG00040,"Drs. Silvia Andriani, S.E.I",2025-05-11,Tunai
TRX0000076,PTG00071,Cecep Kusmawati,2025-06-12,Kartu Debit
TRX0000077,PTG00012,Ir. Ani Nasyidah,2025-10-05,Transfer
TRX0000078,PTG00015,"R. Bakiman Laksmiwati, S.E.I",2025-05-03,Kartu Debit
TRX0000079,PTG00016,Drs. Yunita Adriansyah,2025-10-05,Transfer
TRX0000080,PTG00064,"Ir. Martaka Astuti, M.TI.",2025-10-03,QRIS
TRX0000081,PTG00066,Aurora Nuraini,2025-04-01,QRIS
TRX0000082,PTG00054,Wakiman Laksmiwati,2025-04-04,Kartu Debit
TRX0000083,PTG00061,"dr. Gara Rahmawati, M.Farm",2025-08-22,Transfer
TRX0000084,PTG00059,Diana Rajasa,2024-11-26,Transfer
TRX0000085,PTG00050,"Sutan Upik Hutasoit, S.Pd",2025-04-23,Transfer
TRX0000086,PTG00077,dr. Edi Nainggolan,2025-06-09,Transfer
TRX0000087,PTG00009,"Uli Ardianto, M.Farm",2024-10-22,QRIS
TRX0000088,PTG00099,Karma Ardianto,2025-05-10,Kartu Debit
TRX0000089,PTG00044,"Danang Sihotang, S.Farm",2025-03-14,QRIS
TRX0000090,PTG00001,Chandra Aryani,2025-03-09,QRIS
TRX0000091,PTG00093,Tgk. Hana Nasyiah,2025-06-30,QRIS
TRX0000092,PTG00076,dr. Rahmi Saefullah,2025-04-02,Kartu Debit
TRX0000093,PTG00020,Usyi Putra,2025-07-11,Kartu Debit
TRX0000094,PTG00069,KH. Kalim Laksmiwati,2025-03-29,Kartu Debit
TRX0000095,PTG00045,Putri Puspita,2024-12-28,QRIS
TRX0000096,PTG00071,Ina Permata,2025-04-25,Kartu Debit
TRX0000097,PTG00059,"H. Hasta Mandala, S.IP",2025-03-02,QRIS
TRX0000098,PTG00025,Ivan Marpaung,2025-08-06,Transfer
TRX0000099,PTG00074,Kacung Wacana,2024-11-27,Kartu Debit
TRX0000100,PTG00030,Wani Pudjiastuti,2025-08-21,Kartu Debit
