ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00033,Yusuf Mansur,z2dtiOnx*W,+62 (091) 088 3982,Admin
PTG00034,Gamanto Nurdiyanti,*Os1V)gTTb,+62 (006) 518 0170,Kasir
PTG00035,Laila Najmudin,Lt6Lxqmp#z,+62-04-786-8633,Supervisor
PTG00036,Jelita Mangunsong,%lJ3r@Xy#W,+62-0830-284-3959,Supervisor
PTG00037,Hj. Yuliana Sinaga,QI4TVEvc$$,+62 (0628) 733-4270,Kasir
PTG00038,dr. Hamzah Puspita,(2^MFRn$Fh,0837354033,Supervisor
PTG00039,"Devi Kuswandari, S.H.",H5B+M9WgrM,+62-093-204-8996,Supervisor
PTG00040,Eva Napitupulu,nO3c7Mxs^0,+62 (80) 801-0062,Supervisor
PTG00041,"Hj. Gina Hidayat, S.E.I",3XbXQOoS!R,+62 (11) 823-3984,Admin
PTG00042,"dr. Hasna Widodo, S.Pt",^6On^zasHF,(0659) 180-3397,Admin
PTG00043,Aurora Hutagalung,a1oR3_sm_4,+62 (621) 850 1631,Petugas Loket
PTG00044,Rahmi Susanti,#kz6YvJca),+62 (042) 626 5511,Kasir
PTG00045,Wardaya Samosir,*5JTY*iTWk,0839826224,Supervisor
PTG00046,Hasna Lailasari,#AjEvFnXL1,(057) 569 2459,Kasir
PTG00047,"Farah Kuswandari, S.Psi",6YKjC8kj#2,+62-741-672-4342,Petugas Loket
PTG00048,"Lintang Waluyo, S.Pt",H*9PSsEsRZ,+62-096-561-0143,Petugas Loket
PTG00049,H. Karja Puspita,FM)d9HNou&,+62-875-717-7514,Supervisor
PTG00050,Rusman Latupono,!0U60+dw55,+62-796-603-3419,Petugas Loket
PTG00051,Raharja Nasyiah,Lg5RKWXVD#,+62 (51) 341 2528,Supervisor
PTG00052,Lili Riyanti,#Z9ZzMOnBL,+62-688-767-6772,Petugas Loket
PTG00053,Karya Dabukke,49jTjBPi$S,0836134074,Petugas Loket
PTG00054,Zelda Irawan,*lVDeY0_z1,+62 (0982) 544 9481,Supervisor
PTG00055,Yono Zulkarnain,d4_B6oUe!Y,+62 (0577) 590 1751,Petugas Loket
PTG00056,"Dr. Hasta Pratama, S.Farm",$7ITNDck*k,(0706) 324 2415,Petugas Loket
PTG00057,Chelsea Wahyudin,_2hJ&B3mVQ,(027) 136-1115,Petugas Loket
PTG00058,Ifa Mandala,_&2UKfY+Iv,(056) 523 4138,Kasir
PTG00059,Ir. Tantri Sudiati,jV1GZkk5%0,+62 (526) 965-8271,Admin
PTG00060,Langgeng Hidayat,u4G9biJH!R,+62-285-691-4630,Kasir
PTG00061,Bakianto Fujiati,%@70Tt!ODQ,+62-56-481-4917,Petugas Loket
PTG00062,Oni Tarihoran,F6!Uf7Sfp6,+62 (08) 635-3654,Admin
PTG00063,"Puti Queen Wahyudin, S.IP",lyw0F8ohS(,+62 (973) 832-0603,Kasir
PTG00064,Tgk. Makara Anggriawan,^gAYyJvx08,+62 (719) 182-6199,Kasir
PTG00065,Ibrahim Wijayanti,o#3nCJ5i_i,(018) 537-4741,Kasir
PTG00066,Candrakanta Sihombing,nC&9EPBg+#,+62 (071) 210-0323,Supervisor
PTG00067,"drg. Kasiyah Usamah, S.Pt",@%9K)sIc$),+62-66-253-2447,Petugas Loket
PTG00068,Anom Susanti,9IS%8Hur)Y,(0875) 985-6420,Petugas Loket
PTG00069,Rina Prasetya,!RiBy*z7m4,+62 (223) 955-9059,Admin
PTG00070,R. Padmi Nainggolan,*&J4Qft2)8,+62 (18) 515 6915,Kasir
PTG00071,Janet Mansur,#aZxuuk4V6,(090) 295 9391,Petugas Loket
PTG00072,Dinda Sitompul,+1r&HlrL76,+62-067-626-7658,Kasir
PTG00073,Cinthia Kuswandari,^)9Bw30ogF,+62-62-962-0153,Petugas Loket
PTG00074,Hasan Puspasari,8I$8o+Ev9+,+62-32-417-1467,Kasir
PTG00075,Salimah Saptono,F81$KMfT@d,+62-0806-868-7937,Petugas Loket
PTG00076,Cindy Widodo,+0QX(isyxl,(032) 945-1168,Admin
PTG00077,Puspa Simbolon,kaQJO_Vi%8,+62 (646) 799-7024,Kasir
PTG00078,Dinda Safitri,r)6Bus@mA8,+62 (0754) 691-3736,Petugas Loket
PTG00079,"Nova Maryati, S.I.Kom",!eH8QZ0f2%,+62 (0578) 610 3579,Admin
PTG00080,Elma Kusmawati,0sh8LGlU)p,+62-07-229-0349,Admin
PTG00081,"T. Narji Yuniar, S.T.",6Lcm6*Poo&,+62 (054) 544 4328,Petugas Loket
PTG00082,"Sutan Uda Hakim, M.Ak",faz5IV#e&2,084 282 4172,Kasir
PTG00083,"Hana Purwanti, S.E.",4Uq5rFVc(_,081 684 6022,Supervisor
PTG00084,Gangsa Wasita,pE7CzB%k3),+62 (96) 666 7600,Admin
PTG00085,Sutan Opan Wahyudin,!cY6YD)q50,085 625 7532,Admin
PTG00086,"dr. Ajiman Pradana, S.H.",+2)ekFGxYV,(018) 472 3046,Petugas Loket
PTG00087,"Baktianto Wijayanti, M.TI.",_n*9(Tw2%7,+62 (0208) 737-5300,Supervisor
PTG00088,"Bakidin Kusumo, M.Farm",_^fs7Ec7$m,+62 (010) 022-5579,Supervisor
PTG00089,Uchita Iswahyudi,^5FGoldk(d,(0972) 965-9027,Supervisor
PTG00090,Carla Zulkarnain,aCq0hfiwq*,(0562) 890-0287,Petugas Loket
PTG00091,"Dr. Eli Hutagalung, M.Kom.",^3ZH5LKipL,(008) 801-9948,Kasir
PTG00092,Sutan Marwata Winarsih,*oCiLbEL5a,085 102 7261,Admin
PTG00093,Rahmi Napitupulu,LjM*Iung$1,+62-80-869-7829,Petugas Loket
PTG00094,Opan Mahendra,WBVIXdtH@6,+62 (0858) 333-9452,Supervisor
PTG00095,"Sadina Nugroho, M.TI.",(WVvebdR5J,+62 (00) 342 4420,Admin
PTG00096,"Violet Sihombing, S.Kom",(qgpgLok09,+62-004-397-3598,Admin
PTG00097,"Rahmi Napitupulu, S.Kom",%x7($F7vo!,+62-094-798-5158,Supervisor
PTG00098,Yahya Nashiruddin,1ZHDrbCq(X,+62 (739) 930-5616,Supervisor
PTG00099,Puput Suryono,8lOYaB&*!j,+62-613-861-2075,Admin
PTG00100,Bakianto Hidayanto,!i47GZK@b2,081 449 1476,Admin
