ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000058,PTG00114,"Asmianto Pradana, M.Kom.",2025-01-27,Transfer
TRX0000059,PTG00256,Puti Nadia Anggriawan,2025-04-29,Transfer
TRX0000060,PTG00868,Jayeng Pertiwi,2025-08-16,Kartu Debit
TRX0000061,PTG00812,"Danuja Dabukke, S.Farm",2025-06-22,QRIS
TRX0000062,PTG00463,"Dr. Laksana Mandala, S.Gz",2024-11-26,Kartu Debit
TRX0000063,PTG00895,Edison Uwais,2025-10-03,Transfer
TRX0000064,PTG00267,Arsipatra Kuswandari,2025-05-08,Transfer
TRX0000065,PTG00704,"R. Hartaka Najmudin, S.T.",2024-12-14,QRIS
TRX0000066,PTG00819,"Ifa Mahendra, S.Pd",2025-04-12,QRIS
TRX0000067,PTG00204,T. Wardi Kuswandari,2025-04-05,Tunai
TRX0000068,PTG00425,Gatra Sinaga,2025-01-22,QRIS
TRX0000069,PTG00187,"dr. Warsa Sitompul, S.E.I",2024-11-12,Kartu Debit
TRX0000070,PTG00898,"Luluh Dongoran, S.Psi",2025-05-31,Kartu Debit
TRX0000071,PTG00968,Harjo Farida,2025-07-25,Transfer
TRX0000072,PTG00022,"Banawa Mustofa, S.Ked",2025-06-19,Tunai
TRX0000073,PTG00946,Endah Firmansyah,2025-09-01,Transfer
TRX0000074,PTG00929,Natalia Pudjiastuti,2025-06-18,Tunai
TRX0000075,PTG00998,"Lukita Damanik, S.H.",2025-08-31,Kartu Debit
TRX0000076,PTG00204,"Tira Sinaga, S.Ked",2025-02-18,QRIS
TRX0000077,PTG00719,R. Kairav Suartini,2025-10-12,Transfer
TRX0000078,PTG00051,"KH. Soleh Agustina, M.Pd",2025-08-08,Kartu Debit
TRX0000079,PTG00633,"H. Eluh Setiawan, S.Psi",2025-09-18,Kartu Debit
TRX0000080,PTG00615,Tiara Hassanah,2025-04-07,QRIS
TRX0000081,PTG00153,"Tantri Nasyiah, S.Pt",2025-08-04,Tunai
TRX0000082,PTG00982,"Melinda Saptono, S.Pd",2025-09-05,QRIS
TRX0000083,PTG00175,Galih Rajata,2024-12-31,Tunai
TRX0000084,PTG00015,"Gilang Hutasoit, S.I.Kom",2024-11-10,Kartu Debit
TRX0000085,PTG00792,"Salwa Simbolon, S.Farm",2025-10-13,Kartu Debit
TRX0000086,PTG00848,"T. Adika Pratiwi, S.E.",2025-04-26,Kartu Debit
TRX0000087,PTG00122,Omar Wijaya,2024-11-07,Transfer
TRX0000088,PTG00731,Wirda Sihotang,2025-06-27,Transfer
TRX0000089,PTG00196,"Rina Wastuti, S.H.",2025-06-10,QRIS
TRX0000090,PTG00295,Bagus Prasetyo,2024-11-02,Kartu Debit
TRX0000091,PTG00392,Zelaya Utami,2025-09-28,Transfer
TRX0000092,PTG00442,Ami Tampubolon,2024-11-19,Transfer
TRX0000093,PTG00615,"Kawaya Habibi, S.Sos",2025-08-02,Transfer
TRX0000094,PTG00844,Anita Pertiwi,2025-06-21,QRIS
TRX0000095,PTG00745,"Tgk. Violet Saputra, S.Farm",2024-11-17,Transfer
TRX0000096,PTG00429,Padma Rajasa,2025-03-08,Transfer
TRX0000097,PTG00419,Adinata Gunarto,2024-10-22,Transfer
TRX0000098,PTG00030,Ani Damanik,2025-09-30,QRIS
TRX0000099,PTG01000,"Laras Rajasa, S.I.Kom",2025-02-10,QRIS
TRX0000100,PTG00242,Dr. Kiandra Nuraini,2025-01-25,Kartu Debit
TRX0000101,PTG00930,Ega Nasyiah,2025-08-23,Transfer
TRX0000102,PTG00379,Kamaria Narpati,2025-08-30,Kartu Debit
TRX0000103,PTG00088,Anita Suryono,2025-03-09,Tunai
TRX0000104,PTG00481,Drs. Lukita Megantara,2025-10-02,Transfer
TRX0000105,PTG00893,Lala Anggraini,2025-09-18,QRIS
TRX0000106,PTG00998,Maimunah Anggraini,2024-12-11,Kartu Debit
TRX0000107,PTG00704,Dadi Nuraini,2024-11-12,Transfer
TRX0000108,PTG00731,"Nadine Suartini, S.Psi",2024-11-04,Kartu Debit
TRX0000109,PTG00726,Bakidin Mayasari,2025-08-02,Kartu Debit
TRX0000110,PTG00754,Mulyanto Kurniawan,2024-12-02,QRIS
TRX0000111,PTG00075,"drg. Kamila Nugroho, S.I.Kom",2025-08-23,Tunai
TRX0000112,PTG00571,Ir. Banara Uwais,2024-11-12,Tunai
TRX0000113,PTG00054,Rahmi Damanik,2025-05-27,QRIS
TRX0000114,PTG00954,Balangga Sirait,2025-02-16,Transfer
TRX0000115,PTG00483,Ismail Hidayanto,2025-10-20,QRIS
TRX0000116,PTG00621,Hamima Hidayanto,2025-08-17,Tunai
TRX0000117,PTG00006,Silvia Saefullah,2025-06-22,QRIS
TRX0000118,PTG00517,"drg. Sabri Wijayanti, S.Sos",2025-04-24,Kartu Debit
TRX0000119,PTG00310,Reza Januar,2025-09-26,Kartu Debit
TRX0000120,PTG00688,Muhammad Pradana,2025-06-20,QRIS
TRX0000121,PTG00136,"R. Tira Prayoga, S.IP",2025-08-17,Tunai
TRX0000122,PTG00595,Lalita Halimah,2025-06-03,Transfer
TRX0000123,PTG00267,Gilang Samosir,2024-11-11,Transfer
TRX0000124,PTG00516,Hendri Melani,2025-03-14,Kartu Debit
TRX0000125,PTG00953,Indah Wibowo,2025-01-26,QRIS
TRX0000126,PTG00899,Intan Utama,2025-06-07,Kartu Debit
TRX0000127,PTG00136,"Johan Sudiati, S.E.",2025-08-11,Tunai
TRX0000128,PTG00325,"Gaiman Hutasoit, M.Pd",2025-01-25,Kartu Debit
TRX0000129,PTG00146,Kacung Hidayat,2025-01-16,QRIS
TRX0000130,PTG00120,Sabri Permadi,2025-09-21,QRIS
TRX0000131,PTG00046,Siti Mahendra,2025-09-20,Transfer
TRX0000132,PTG00512,"Sabrina Zulaika, S.T.",2025-02-02,QRIS
TRX0000133,PTG00766,Tania Riyanti,2025-08-14,QRIS
TRX0000134,PTG00949,"Endah Prastuti, M.M.",2025-09-02,Kartu Debit
TRX0000135,PTG00290,"Jane Permata, S.Pt",2025-08-06,QRIS
TRX0000136,PTG00628,"Tgk. Zahra Salahudin, M.TI.",2025-07-25,QRIS
TRX0000137,PTG00530,Tgk. Ayu Ardianto,2025-10-08,QRIS
TRX0000138,PTG00447,"Galak Winarno, S.Psi",2025-05-31,Transfer
TRX0000139,PTG00324,"Dr. Dodo Waskita, S.H.",2025-09-15,Kartu Debit
TRX0000140,PTG00783,"Drs. Chandra Yuniar, S.Pd",2025-09-27,Transfer
TRX0000141,PTG00570,"Zaenab Mardhiyah, M.Kom.",2025-05-25,Kartu Debit
TRX0000142,PTG00055,Margana Kuswandari,2025-05-25,Transfer
TRX0000143,PTG00153,Jati Widodo,2025-08-08,Tunai
TRX0000144,PTG00236,"Muni Kuswandari, S.Farm",2025-07-05,Transfer
TRX0000145,PTG00037,Zulaikha Pertiwi,2025-08-27,Kartu Debit
TRX0000146,PTG00267,Jabal Nuraini,2025-04-20,Transfer
TRX0000147,PTG00723,Hilda Saefullah,2024-11-06,Kartu Debit
TRX0000148,PTG00447,Gara Kusumo,2025-09-17,Tunai
TRX0000149,PTG00917,Sabar Nasyiah,2025-05-26,Kartu Debit
TRX0000150,PTG00042,Indra Mahendra,2025-04-14,Kartu Debit
TRX0000151,PTG00366,Drs. Ivan Samosir,2025-09-13,Kartu Debit
TRX0000152,PTG00469,Yani Haryanti,2025-04-09,Kartu Debit
TRX0000153,PTG00116,Talia Wacana,2025-04-05,Transfer
TRX0000154,PTG00127,Mustofa Suryatmi,2025-08-08,QRIS
TRX0000155,PTG00096,Puti Rahayu Nainggolan,2024-11-20,Transfer
TRX0000156,PTG00890,Elisa Wibowo,2025-10-02,QRIS
TRX0000157,PTG00185,Dian Siregar,2025-09-10,Transfer
TRX0000158,PTG00768,"Martaka Suryatmi, S.Kom",2025-06-01,QRIS
TRX0000159,PTG00577,Maya Prastuti,2024-12-02,Transfer
TRX0000160,PTG00598,"Cut Paris Thamrin, S.Farm",2025-04-30,Tunai
TRX0000161,PTG00539,"Dr. Jamalia Permata, S.IP",2025-08-08,Transfer
TRX0000162,PTG00427,"Hardi Yolanda, S.Farm",2024-10-30,Tunai
TRX0000163,PTG00253,"Sutan Raden Rahayu, S.Farm",2025-07-31,Kartu Debit
TRX0000164,PTG00694,Mitra Sihombing,2025-04-26,Tunai
TRX0000165,PTG00909,Violet Hassanah,2025-09-17,QRIS
TRX0000166,PTG00027,Yunita Kusumo,2025-04-23,QRIS
TRX0000167,PTG00698,Garang Hartati,2025-02-02,Tunai
TRX0000168,PTG00404,"Dr. Amelia Mansur, S.I.Kom",2025-09-13,QRIS
TRX0000169,PTG00605,Mursinin Hutasoit,2025-08-07,Tunai
TRX0000170,PTG00858,Intan Rajasa,2025-03-08,QRIS
TRX0000171,PTG00158,Ani Uyainah,2025-06-16,Tunai
TRX0000172,PTG00084,"Drs. Mustofa Oktaviani, M.Pd",2025-09-07,Kartu Debit
TRX0000173,PTG00851,Yessi Sinaga,2025-02-21,Kartu Debit
TRX0000174,PTG00465,Kayla Usamah,2024-12-10,QRIS
TRX0000175,PTG00609,Hana Santoso,2025-01-12,Tunai
TRX0000176,PTG00338,"Pia Santoso, S.I.Kom",2025-10-17,Tunai
TRX0000177,PTG00672,"Jessica Winarsih, M.Kom.",2025-02-27,Kartu Debit
TRX0000178,PTG00333,"Hj. Laila Pranowo, S.H.",2025-03-20,Transfer
TRX0000179,PTG00217,Shakila Saputra,2025-09-06,Tunai
TRX0000180,PTG00821,Nugraha Sitorus,2024-12-30,QRIS
TRX0000181,PTG00331,dr. Gasti Anggriawan,2024-10-30,Tunai
TRX0000182,PTG00762,Elisa Halimah,2025-07-13,Tunai
TRX0000183,PTG00561,"Nadine Mustofa, M.TI.",2025-10-15,Kartu Debit
TRX0000184,PTG00095,"Tami Megantara, M.Kom.",2025-06-19,Kartu Debit
TRX0000185,PTG00262,dr. Samiah Mayasari,2025-03-20,Transfer
TRX0000186,PTG00246,drg. Asmuni Puspita,2025-09-27,Kartu Debit
TRX0000187,PTG00092,Zaenab Manullang,2025-06-02,Tunai
TRX0000188,PTG00873,"Irsad Waskita, S.Ked",2025-08-01,Transfer
TRX0000189,PTG00167,Lintang Suryatmi,2025-01-19,Kartu Debit
TRX0000190,PTG00799,Pandu Usada,2025-05-17,Kartu Debit
TRX0000191,PTG00292,"drg. Ibrahim Zulaika, S.Pd",2024-12-31,Transfer
TRX0000192,PTG00124,R.M. Maras Rahimah,2025-01-30,QRIS
TRX0000193,PTG00503,"T. Daliman Tarihoran, S.Gz",2025-09-04,Kartu Debit
TRX0000194,PTG00754,Rahmi Widodo,2024-11-10,QRIS
TRX0000195,PTG00926,Ian Thamrin,2025-08-27,Transfer
TRX0000196,PTG00368,Nilam Hastuti,2025-01-14,Tunai
TRX0000197,PTG00853,T. Cahyono Setiawan,2025-07-11,QRIS
TRX0000198,PTG00525,Imam Suwarno,2025-04-28,Transfer
TRX0000199,PTG00502,Langgeng Kusumo,2025-05-27,Kartu Debit
TRX0000200,PTG00907,Warsa Zulaika,2025-03-20,Kartu Debit
TRX0000201,PTG00488,dr. Ayu Halimah,2025-04-04,QRIS
TRX0000202,PTG00577,Gangsa Sudiati,2025-08-27,Kartu Debit
TRX0000203,PTG00093,Ani Januar,2024-12-27,Kartu Debit
TRX0000204,PTG00831,Puti Kamaria Aryani,2025-03-19,QRIS
TRX0000205,PTG00629,Paris Halim,2025-06-15,Transfer
TRX0000206,PTG00445,Drs. Dinda Pranowo,2025-04-24,Kartu Debit
TRX0000207,PTG00096,Salsabila Gunawan,2024-11-09,Tunai
TRX0000208,PTG00526,R. Daliman Pratama,2024-10-28,QRIS
TRX0000209,PTG00997,"Tgk. Yunita Prastuti, S.Ked",2025-08-08,Kartu Debit
TRX0000210,PTG00693,Warsita Kuswandari,2024-12-13,Transfer
TRX0000211,PTG00664,Cemani Astuti,2025-02-13,Transfer
TRX0000212,PTG00954,"R. Vanya Setiawan, M.Ak",2025-05-31,Kartu Debit
TRX0000213,PTG00540,Kusuma Adriansyah,2025-02-06,Tunai
TRX0000214,PTG00298,"Kezia Wulandari, M.Farm",2024-11-24,Kartu Debit
TRX0000215,PTG00448,Rahmi Suryatmi,2025-06-25,Tunai
TRX0000216,PTG00929,Mariadi Natsir,2024-12-04,Kartu Debit
TRX0000217,PTG00308,"Tgk. Lili Saptono, S.Gz",2025-05-30,Transfer
TRX0000218,PTG00131,Balamantri Namaga,2025-01-24,QRIS
TRX0000219,PTG00862,drg. Liman Kuswoyo,2024-12-19,Transfer
TRX0000220,PTG00536,Kani Rahayu,2025-01-30,Kartu Debit
TRX0000221,PTG00303,Bakda Yolanda,2025-03-04,Tunai
TRX0000222,PTG00565,Rusman Nainggolan,2024-12-15,Tunai
TRX0000223,PTG00940,Kardi Halim,2025-09-05,Tunai
TRX0000224,PTG00526,drg. Mala Zulaika,2025-03-11,Tunai
TRX0000225,PTG00523,"Labuh Ramadan, S.E.I",2025-04-06,Kartu Debit
TRX0000226,PTG00423,Tgk. Yunita Nainggolan,2025-01-12,Tunai
TRX0000227,PTG00476,"Daniswara Laksmiwati, S.I.Kom",2025-05-24,QRIS
TRX0000228,PTG00364,"Hj. Uli Suwarno, S.E.",2025-09-26,QRIS
TRX0000229,PTG00600,T. Harsana Prasasta,2025-05-13,Tunai
TRX0000230,PTG00788,"Natalia Permadi, S.Pd",2025-04-22,Tunai
TRX0000231,PTG00117,Ir. Prayogo Simbolon,2025-06-20,Kartu Debit
TRX0000232,PTG00184,"Hesti Anggriawan, S.E.",2024-11-09,Transfer
TRX0000233,PTG00864,Nabila Mansur,2025-09-24,Kartu Debit
TRX0000234,PTG00047,"R. Jaeman Permata, S.Kom",2025-07-12,Tunai
TRX0000235,PTG00427,Himawan Manullang,2025-09-01,QRIS
TRX0000236,PTG00322,Warta Sitompul,2025-03-07,Kartu Debit
TRX0000237,PTG00776,Candrakanta Anggraini,2025-03-05,Kartu Debit
TRX0000238,PTG00639,Ir. Dalima Setiawan,2025-04-10,QRIS
TRX0000239,PTG00350,"Hj. Siska Samosir, M.TI.",2025-09-19,Transfer
TRX0000240,PTG00217,"Nadia Megantara, S.Sos",2025-01-23,Transfer
TRX0000241,PTG00081,"Malika Laksita, M.Farm",2025-05-24,QRIS
TRX0000242,PTG00893,Oskar Melani,2025-09-28,Tunai
TRX0000243,PTG00445,"Karsa Purnawati, S.T.",2025-09-26,Tunai
TRX0000244,PTG00006,Puti Wani Narpati,2025-09-19,Kartu Debit
TRX0000245,PTG00120,dr. Ilyas Marbun,2025-09-17,Tunai
TRX0000246,PTG00176,Natalia Rajasa,2025-05-04,Kartu Debit
TRX0000247,PTG00472,"Dr. Harjo Susanti, S.Pt",2025-05-01,Kartu Debit
TRX0000248,PTG00890,Anita Handayani,2024-11-09,Kartu Debit
TRX0000249,PTG00311,"Zamira Marbun, M.Ak",2025-03-16,QRIS
TRX0000250,PTG00708,"Ir. Wulan Wibowo, S.Psi",2025-03-15,Kartu Debit
TRX0000251,PTG00824,"Tgk. Cinthia Simanjuntak, M.Kom.",2024-12-29,QRIS
TRX0000252,PTG00090,Mulya Mulyani,2025-01-13,Transfer
TRX0000253,PTG00139,Ajiman Suwarno,2024-11-08,Tunai
TRX0000254,PTG00196,Citra Anggriawan,2024-10-27,Tunai
TRX0000255,PTG00836,"R. Kasim Hidayat, S.E.I",2025-04-16,Tunai
TRX0000256,PTG00713,"KH. Estiono Prayoga, S.H.",2025-06-08,Transfer
TRX0000257,PTG00880,Wira Najmudin,2025-04-15,Tunai
TRX0000258,PTG00215,Maida Nuraini,2025-04-02,Kartu Debit
TRX0000259,PTG00665,Erik Safitri,2025-10-13,Transfer
TRX0000260,PTG00666,Raharja Tamba,2025-03-22,Transfer
TRX0000261,PTG00447,Bahuwirya Padmasari,2025-02-20,Transfer
TRX0000262,PTG00089,Fathonah Haryanto,2025-01-09,QRIS
TRX0000263,PTG00789,Among Latupono,2025-07-03,Kartu Debit
TRX0000264,PTG00152,Oni Sihombing,2025-07-26,Kartu Debit
TRX0000265,PTG00433,Maimunah Prasetyo,2025-03-12,Tunai
TRX0000266,PTG00120,Rahmat Prasetya,2025-09-24,Transfer
TRX0000267,PTG00925,Marsito Gunawan,2025-04-23,Transfer
TRX0000268,PTG00757,"Tina Haryanto, M.M.",2025-07-28,Kartu Debit
TRX0000269,PTG00987,R.A. Cornelia Hartati,2025-02-03,Kartu Debit
TRX0000270,PTG00483,Ana Mandasari,2025-03-08,Tunai
TRX0000271,PTG00881,Cengkal Jailani,2025-01-18,Kartu Debit
TRX0000272,PTG00600,"Zizi Handayani, S.Kom",2025-07-21,Transfer
TRX0000273,PTG00207,Daryani Riyanti,2025-04-13,QRIS
TRX0000274,PTG00584,"Ir. Maryanto Gunawan, S.Pt",2025-04-24,Kartu Debit
TRX0000275,PTG00053,"Cut Cinthia Wijayanti, S.Pd",2025-09-11,QRIS
TRX0000276,PTG00009,Hendri Manullang,2025-05-27,Tunai
TRX0000277,PTG00646,"Drs. Raisa Manullang, S.E.",2024-11-18,Kartu Debit
TRX0000278,PTG00426,"Umar Rajata, S.Ked",2025-07-28,Kartu Debit
TRX0000279,PTG00755,Citra Pranowo,2024-10-20,QRIS
TRX0000280,PTG00038,Juli Saputra,2025-05-11,Kartu Debit
TRX0000281,PTG00410,"Rika Aryani, S.Sos",2025-09-13,Kartu Debit
TRX0000282,PTG00526,Vinsen Yulianti,2024-11-09,Kartu Debit
TRX0000283,PTG00238,"Puti Humaira Prayoga, S.Psi",2025-02-18,Tunai
TRX0000284,PTG00541,"Azalea Saefullah, M.Kom.",2025-05-18,Tunai
TRX0000285,PTG00433,Radit Puspita,2024-11-21,QRIS
TRX0000286,PTG00567,"Cut Winda Firmansyah, S.Pd",2025-07-23,Tunai
TRX0000287,PTG00275,Bakda Sihotang,2025-02-28,Kartu Debit
TRX0000288,PTG00911,Virman Hidayat,2025-08-05,Kartu Debit
TRX0000289,PTG00120,Kenzie Simbolon,2025-07-21,Kartu Debit
TRX0000290,PTG00638,"Hj. Laila Hakim, S.E.I",2025-06-14,QRIS
TRX0000291,PTG00460,Rahayu Nainggolan,2025-04-25,Kartu Debit
TRX0000292,PTG00022,"Zelda Saefullah, M.Kom.",2025-08-26,Transfer
TRX0000293,PTG00295,drg. Lidya Hardiansyah,2025-04-26,Transfer
TRX0000294,PTG00481,Hamima Mardhiyah,2025-09-14,QRIS
TRX0000295,PTG00449,Keisha Maryadi,2025-09-12,Transfer
TRX0000296,PTG00520,Kamaria Anggriawan,2025-02-20,Transfer
TRX0000297,PTG00602,Ella Nugroho,2025-09-10,QRIS
TRX0000298,PTG00944,Zelaya Rajata,2025-02-17,Kartu Debit
TRX0000299,PTG00135,Harsanto Rahayu,2025-08-10,QRIS
TRX0000300,PTG00741,Salimah Mardhiyah,2025-09-25,Kartu Debit
TRX0000301,PTG00983,"R. Purwadi Lestari, S.Psi",2025-03-30,Kartu Debit
TRX0000302,PTG00854,Cici Maryati,2025-09-16,QRIS
TRX0000303,PTG00816,Vicky Mandasari,2024-12-20,Kartu Debit
TRX0000304,PTG00819,"R. Eja Purwanti, M.Pd",2024-12-01,Transfer
TRX0000305,PTG00637,"R. Harjaya Hakim, S.I.Kom",2025-09-06,Transfer
TRX0000306,PTG00290,Warsita Hutagalung,2025-05-24,Tunai
TRX0000307,PTG00684,Salsabila Sitompul,2025-05-28,Kartu Debit
TRX0000308,PTG00133,Azalea Puspita,2025-03-06,Transfer
TRX0000309,PTG00205,Nurul Pudjiastuti,2024-12-25,Transfer
TRX0000310,PTG00621,"dr. Aurora Saptono, S.T.",2025-03-17,Kartu Debit
TRX0000311,PTG00104,Cornelia Salahudin,2025-08-01,Kartu Debit
TRX0000312,PTG00966,Ulva Mandala,2025-10-06,Kartu Debit
TRX0000313,PTG00311,Vivi Maulana,2025-06-19,Transfer
TRX0000314,PTG00215,Nilam Usamah,2025-08-06,Tunai
TRX0000315,PTG00019,Dr. Aswani Situmorang,2024-10-27,QRIS
TRX0000316,PTG00903,Atmaja Sitompul,2025-09-14,QRIS
TRX0000317,PTG00366,Darsirah Farida,2025-09-03,Transfer
TRX0000318,PTG00179,Ir. Heryanto Nugroho,2025-07-06,Tunai
TRX0000319,PTG00827,T. Tomi Safitri,2025-03-28,Tunai
TRX0000320,PTG00346,Emil Megantara,2025-04-10,Kartu Debit
TRX0000321,PTG00117,Hendra Pratiwi,2025-01-26,Transfer
TRX0000322,PTG00124,R. Emil Maryadi,2025-07-05,Transfer
TRX0000323,PTG00499,Ibun Wibowo,2025-09-24,QRIS
TRX0000324,PTG00349,R. Ismail Yolanda,2025-07-03,QRIS
TRX0000325,PTG00788,Ikhsan Nasyidah,2024-10-24,Tunai
TRX0000326,PTG00789,Gawati Aryani,2024-11-19,QRIS
TRX0000327,PTG00918,Dr. Eva Winarsih,2025-03-08,Transfer
TRX0000328,PTG00874,Lembah Yulianti,2025-10-16,Tunai
TRX0000329,PTG00724,Kania Zulkarnain,2025-08-21,Tunai
TRX0000330,PTG00949,Mahmud Hardiansyah,2025-08-02,Kartu Debit
TRX0000331,PTG00819,Dewi Haryanti,2025-02-18,Kartu Debit
TRX0000332,PTG00986,Gaman Firgantoro,2025-08-20,Tunai
TRX0000333,PTG00999,"drg. Ian Budiman, S.Pt",2024-10-31,Tunai
TRX0000334,PTG00801,"Dr. Kamaria Kusumo, M.Pd",2025-07-14,Tunai
TRX0000335,PTG00844,Adhiarja Hassanah,2025-09-26,Tunai
TRX0000336,PTG00520,Puspa Ramadan,2025-10-09,Tunai
TRX0000337,PTG00172,T. Gading Tarihoran,2024-12-28,Tunai
TRX0000338,PTG00892,Ciaobella Nuraini,2025-04-15,Transfer
TRX0000339,PTG00933,Novi Laksmiwati,2025-06-19,QRIS
TRX0000340,PTG00161,Ian Aryani,2025-08-26,QRIS
TRX0000341,PTG00726,Malik Iswahyudi,2025-04-27,Kartu Debit
TRX0000342,PTG00781,"Endah Nugroho, M.Pd",2025-06-11,Kartu Debit
TRX0000343,PTG00751,Eja Rahmawati,2025-08-11,Tunai
TRX0000344,PTG00158,Eka Putra,2025-09-20,QRIS
TRX0000345,PTG00343,"Lega Maryadi, S.IP",2024-10-24,Transfer
TRX0000346,PTG00126,Jabal Nugroho,2025-03-09,Transfer
TRX0000347,PTG00450,Sarah Laksita,2025-08-05,Kartu Debit
TRX0000348,PTG00788,Daliman Anggraini,2025-05-15,Tunai
TRX0000349,PTG00252,Indah Habibi,2025-09-06,Kartu Debit
TRX0000350,PTG00350,Ir. Koko Jailani,2025-10-02,QRIS
TRX0000351,PTG00518,"Prasetya Gunawan, S.I.Kom",2024-12-25,Transfer
TRX0000352,PTG00088,Tgk. Yani Suwarno,2025-06-07,QRIS
TRX0000353,PTG00382,Sari Wijaya,2025-07-14,Kartu Debit
TRX0000354,PTG00370,"Zulfa Nasyidah, M.Pd",2025-06-06,Transfer
TRX0000355,PTG00156,Cecep Winarsih,2024-10-31,Kartu Debit
TRX0000356,PTG00807,Gangsa Waskita,2025-08-16,Transfer
TRX0000357,PTG00142,Aswani Nasyidah,2025-08-25,Kartu Debit
