ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00053,"Drs. Kardi Wahyudin, S.Pt",3RU*c+Ft#o,+62-081-441-5298,Petugas Loket
PTG00054,Uda Januar,zu*3STLeTD,+62-605-079-1815,Supervisor
PTG00055,Drs. Kamal Nasyidah,Z8_i9YHr(6,(047) 408 0314,Petugas Loket
PTG00056,Ir. Puput Natsir,5$X1xbnq_Q,+62-172-351-3739,Petugas Loket
PTG00057,"Luwar Budiman, S.Gz",&!WdnyznF3,+62 (0694) 346 0666,Kasir
PTG00058,Zaenab Nainggolan,YH4LTaZ(*O,(048) 449 4116,Admin
PTG00059,"R.A. Clara Puspita, M.Kom.",$(Qn1ilbX2,083 350 9025,Petugas Loket
PTG00060,"Tgk. Ellis Tampubolon, M.M.",+901MmKq$6,+62-011-688-0925,Admin
PTG00061,Ani Megantara,!%GT3iAm@@,(073) 794 5772,Supervisor
PTG00062,Paulin Tarihoran,gx2J+guA$I,+62 (366) 677-7675,Supervisor
PTG00063,Jane Widiastuti,342&2XqsSi,(027) 187 4960,Petugas Loket
PTG00064,Darimin Sirait,vJ2V3Tmyc(,(057) 327-5998,Admin
PTG00065,"Sari Firgantoro, S.IP",uq1&uAhaA@,+62 (0418) 222-6189,Petugas Loket
PTG00066,Endah Purwanti,(sWb_ih_G7,(0992) 707 9551,Petugas Loket
PTG00067,Betania Nugroho,#+zkbxJvw9,+62 (54) 384-8075,Kasir
PTG00068,Aslijan Yulianti,$C8zIao#q4,+62-766-046-5586,Supervisor
PTG00069,Titin Siregar,S#5XtibBP(,+62 (029) 311 0059,Admin
PTG00070,Chandra Padmasari,_7)U2hk&w!,+62 (837) 379 2749,Supervisor
PTG00071,"Cut Maimunah Nashiruddin, M.TI.",7qU2Figo!1,+62 (0364) 538-0442,Kasir
PTG00072,Aswani Haryanto,Xb^i5Xh&V*,+62 (757) 574 7583,Supervisor
PTG00073,Langgeng Narpati,!C5vHNo+gG,+62 (65) 062 2923,Kasir
PTG00074,Agus Wijaya,*O2npI2kOK,+62 (015) 794-2387,Supervisor
PTG00075,"Sutan Hamzah Lestari, S.Ked",%2XWRKFu)T,(033) 535-7485,Admin
PTG00076,dr. Tami Nababan,Ut5XmZurB#,+62 (087) 794 1763,Kasir
PTG00077,"KH. Enteng Megantara, S.I.Kom",Yhn7H8ByW!,+62-038-843-6604,Supervisor
PTG00078,Farhunnisa Megantara,ZJF0ALGuK%,(0429) 250 1058,Kasir
PTG00079,Kartika Megantara,^6RCn#8aUr,+62 (022) 182 3155,Admin
PTG00080,Cindy Zulkarnain,^QZPmmmL1t,+62-03-700-3322,Supervisor
PTG00081,Tgk. Gaman Wibisono,i6bdSAV3_q,+62 (63) 280-9448,Petugas Loket
PTG00082,Oni Wibisono,#3YtaLKxbi,(013) 394 3945,Admin
PTG00083,Anastasia Yuliarti,4@Snp3wi_3,+62 (0319) 100-9004,Admin
PTG00084,Gadang Handayani,$3&9F^Idjs,+62 (007) 201-1379,Admin
PTG00085,"Puti Saputra, S.T.",!9%cPOncxU,+62-404-337-0096,Admin
PTG00086,H. Jindra Pradipta,&F0SFJlSB+,(0542) 786 5619,Petugas Loket
PTG00087,Dina Sitorus,Rc7OtyyDY^,+62 (061) 880 8190,Supervisor
PTG00088,Pia Widiastuti,k#C3FvVw4D,+62 (30) 817 2143,Admin
PTG00089,"dr. Gadang Pranowo, M.Pd",_93nGaL(v1,(053) 469 9799,Supervisor
PTG00090,Mustika Lestari,!7pGR*KlDx,(0481) 131-7653,Kasir
PTG00091,Dr. Ami Sinaga,p4I!8pYwK%,0804918727,Admin
PTG00092,Zulaikha Marpaung,!c4^T6kha1,+62-0597-371-1222,Admin
PTG00093,"Rahmi Pratiwi, S.Ked",d*Qd7LNzTJ,(083) 210 2192,Supervisor
PTG00094,"Daliman Hassanah, M.Pd",^p1II5_)8!,080 425 3733,Petugas Loket
PTG00095,"Jaswadi Kuswandari, M.Kom.",S$1Fbp_iNm,(053) 460-6056,Kasir
PTG00096,Dadi Winarsih,Wqh)Mkro+5,+62 (069) 061 8120,Petugas Loket
PTG00097,Indah Wijaya,zDUWupMz%7,+62 (175) 889 1444,Supervisor
PTG00098,"Tgk. Rina Mulyani, S.H.",2x^5HsWb1X,0885379821,Admin
PTG00099,"Tari Siregar, S.H.",nZZO9NuUR$,0860134778,Supervisor
PTG00100,Tgk. Oni Purnawati,&3O*IB_)bz,0842163090,Supervisor
PTG00101,Balidin Sirait,544JuEn@)i,+62-21-994-7113,Supervisor
PTG00102,"drg. Gawati Permadi, M.M.",8!2KpoFho),(008) 437 6855,Supervisor
PTG00103,Jamil Mayasari,3_^6O0t4E),(0093) 170-6955,Admin
PTG00104,Ayu Lestari,&D777NcVQR,+62-031-219-8041,Kasir
PTG00105,T. Jabal Maryadi,q120NqXi%q,(023) 039-1114,Admin
PTG00106,"R. Patricia Maheswara, M.M.",(u5XpiPfP%,+62 (947) 372-1329,Supervisor
PTG00107,"Dt. Bagas Waluyo, S.E.I",lc4SOQqv!W,087 203 1954,Supervisor
PTG00108,Lukita Zulkarnain,@O&6JhlVi_,+62-37-476-7753,Admin
PTG00109,Diah Agustina,!3$MGEKuEP,+62 (348) 201 2840,Petugas Loket
PTG00110,Kacung Pratama,8CXDCFLV_a,081 265 7422,Petugas Loket
PTG00111,"Sutan Bakiman Susanti, S.Sos",%6Hb2lrJUz,+62-047-137-2711,Petugas Loket
PTG00112,"Jagaraga Siregar, M.Ak",+SsPiC+cf5,(074) 584-7609,Supervisor
PTG00113,Wani Rajasa,o@w2RhSEgJ,+62 (97) 150-6662,Admin
PTG00114,Nabila Dabukke,5r5wVDj9X^,+62 (011) 102 8671,Admin
PTG00115,"KH. Nalar Yuliarti, S.E.I",!0oPtdb&0f,+62 (67) 149-4981,Petugas Loket
PTG00116,"Ir. Intan Mandala, S.Pt",Zd*W9Ifb*l,(034) 533-7220,Petugas Loket
PTG00117,Asmuni Rahmawati,)f8Do5NI@2,(0052) 635-1004,Admin
PTG00118,Fitria Mandasari,p*6hZawhq1,(0520) 238-9743,Supervisor
PTG00119,"Elvina Agustina, S.Gz",lF!NWPkC!5,+62-607-984-8704,Petugas Loket
PTG00120,Anita Wasita,utX1PVnAa),+62 (0083) 037 3606,Kasir
PTG00121,Yusuf Hutagalung,@8gRnibO%R,(085) 283 0615,Kasir
PTG00122,"Dipa Kuswandari, S.Ked",x2XIt30*@A,+62-0142-175-1887,Admin
PTG00123,R. Jaya Winarsih,E4ZlSc@t)k,0837505661,Supervisor
PTG00124,"Dr. Prayoga Waskita, S.Kom",#Vd3hTvuTL,+62-095-055-6057,Kasir
PTG00125,Cahyanto Kuswoyo,8_OzRDy#)B,+62 (004) 246-2456,Petugas Loket
PTG00126,Karta Utama,A@7CJxuWpE,+62-913-044-8818,Supervisor
PTG00127,Drs. Ifa Puspasari,_4tJaD$mwV,(081) 429 8315,Admin
PTG00128,Cengkal Yulianti,@4e1UpPz!),0830639638,Petugas Loket
PTG00129,Jelita Mansur,9s9)NZOyI&,+62-0203-301-6234,Supervisor
PTG00130,Kamal Adriansyah,n@*3Wfkd_I,+62 (36) 533 7746,Admin
PTG00131,Dono Adriansyah,j7hQ3(9b&F,(0543) 734 7642,Supervisor
PTG00132,Gawati Farida,0GzSY_hF#*,+62 (091) 344 3899,Kasir
PTG00133,"Dr. Viman Najmudin, M.Kom.",CdS0E2aAi(,+62 (167) 933-5055,Kasir
PTG00134,Vanya Permadi,J5P*s5qh(z,+62-0335-104-0961,Admin
PTG00135,Syahrini Rahmawati,*X3CWhvkN8,(051) 189-3940,Kasir
PTG00136,Tami Tampubolon,0g^7R2mw$1,+62-073-920-1354,Admin
PTG00137,"Hj. Mala Mangunsong, S.Pt",0#Moa&+^#7,+62 (729) 893 7629,Kasir
PTG00138,"Dr. Indah Sihotang, S.T.",j3IXRuqz)s,(092) 082 8323,Supervisor
PTG00139,Kacung Sudiati,S1HrC_1J(3,(0168) 157 2450,Supervisor
PTG00140,Prakosa Anggriawan,0BilVZ2w!x,+62-25-561-8444,Admin
PTG00141,Bakiadi Palastri,#9Qi+nVs9G,+62-09-004-3655,Petugas Loket
PTG00142,Gilang Maryati,%)IlPzE$m8,+62-070-633-6998,Supervisor
PTG00143,Raina Thamrin,9pY)uluq!R,0877383638,Supervisor
PTG00144,"Atma Wacana, S.T.",_H2fQVcA$@,(031) 441-7064,Admin
PTG00145,"Harsaya Manullang, S.I.Kom",H4cDB9ft^4,088 031 5388,Admin
PTG00146,R.M. Radika Saefullah,n%c2Otp5^3,+62 (163) 211 1978,Petugas Loket
PTG00147,Tantri Maheswara,50cO)Zzg(T,+62 (617) 868 8002,Admin
PTG00148,Rizki Dongoran,jD)W96kMe!,+62-93-659-5201,Petugas Loket
PTG00149,Rahmi Hidayanto,U(UyRD@_@8,+62 (13) 745 5611,Admin
PTG00150,Ani Sihombing,v8R@k5nJ#h,+62-03-083-5669,Supervisor
PTG00151,Rendy Dongoran,^o3wi6V2J&,(0682) 938-4401,Admin
PTG00152,Gadang Puspasari,!8NbSO_y5F,+62-90-859-9144,Kasir
PTG00153,R. Anita Hartati,HZUvJYlf%9,+62 (0285) 969-3259,Supervisor
PTG00154,Emil Damanik,tpwr(oS4(4,(090) 872-6176,Kasir
PTG00155,Maras Handayani,3fQ4JrE6#_,(012) 996-5082,Kasir
PTG00156,Rika Tamba,7j2NIvn@(J,+62 (143) 468 2394,Admin
PTG00157,"Drs. Humaira Utami, S.Gz",42pPGr%%!y,+62 (001) 680 9414,Admin
PTG00158,"Luluh Hidayanto, S.Psi",!Y2VNI_y47,(020) 726 6292,Kasir
PTG00159,Anita Puspita,n7uXuv%j@v,+62-373-125-5235,Supervisor
PTG00160,Cici Hastuti,3z1c^OGa(n,+62 (613) 371-8444,Admin
PTG00161,Cut Tari Narpati,p5$mJ9Be)n,+62 (77) 822 1021,Supervisor
PTG00162,Yuni Rahmawati,22yDSgug(5,082 856 0539,Admin
PTG00163,"drg. Yosef Damanik, M.Kom.",+H9(NRxOsQ,0821223552,Kasir
PTG00164,Hartana Wastuti,Cz5cHAyav_,(0908) 984 3699,Kasir
PTG00165,T. Purwanto Palastri,ol2dEbKff!,088 114 5788,Admin
PTG00166,Yessi Firgantoro,u+SLNRC7vl,(0987) 682-9968,Kasir
PTG00167,Tina Mangunsong,#z#Z5Qs1Y5,(095) 790 0124,Admin
PTG00168,R.M. Prayogo Siregar,vHV2ImfZ^4,+62-0389-156-2415,Petugas Loket
PTG00169,Kasiran Sirait,G70w4FkW+*,+62 (078) 468-5095,Admin
PTG00170,"drg. Prasetyo Zulaika, S.Pd",AYqAngnt%3,+62-0401-536-4154,Supervisor
PTG00171,Cici Simbolon,^FDmgoQ5J3,+62 (041) 052-7698,Kasir
PTG00172,Mursinin Rahayu,Wn7!ERbT(H,(005) 986-7874,Admin
PTG00173,Zelda Marbun,PyW8kgJE#7,+62 (49) 116 5020,Admin
PTG00174,Artanto Mangunsong,%r^5ZUzhCB,+62-083-682-1444,Admin
PTG00175,"Drs. Paramita Susanti, S.Sos",&OTz4wZK9Z,+62 (54) 318-3281,Supervisor
PTG00176,"Diana Nainggolan, S.Pt",rZY3%Tre#O,+62-82-768-1722,Kasir
PTG00177,Natalia Hariyah,T7_4U#Xl^p,+62 (060) 827-1721,Admin
PTG00178,Silvia Pratama,fu7Zwuw0U$,+62 (065) 914-3882,Kasir
PTG00179,Usman Marbun,kp^5v7WhMh,+62 (0309) 544-9791,Supervisor
PTG00180,Tugiman Hassanah,109%6OMaO),0883220125,Petugas Loket
PTG00181,Titi Habibi,r73FvbQP(D,+62-0860-030-4436,Supervisor
PTG00182,"Bajragin Pertiwi, M.Farm",^cwqUO&jZ1,+62 (0374) 830-9309,Petugas Loket
PTG00183,Nadine Hutasoit,$(9Yg(Pcux,+62 (091) 116-6122,Admin
PTG00184,Banawa Safitri,fau0uOef+U,+62-27-481-2421,Kasir
PTG00185,Edi Damanik,(6!byUq)oV,+62-995-297-0137,Petugas Loket
PTG00186,Caket Saefullah,$6Au3#Lrj@,+62 (927) 387-4029,Kasir
PTG00187,Cut Maimunah Hutasoit,&6pSa*Bw+r,+62-95-679-7564,Admin
PTG00188,Puti Kartika Handayani,j56L*n6K)T,+62-68-317-6417,Kasir
PTG00189,Indra Maryati,8fF*VqAq!&,+62 (030) 735-1045,Petugas Loket
PTG00190,T. Joko Salahudin,$6TFRREJd6,+62-53-396-2746,Admin
PTG00191,Maya Maryadi,@SdN#yHcA5,(0714) 004-9388,Admin
PTG00192,Rizki Pratiwi,BbeB06Sa+4,(0313) 797-1669,Petugas Loket
PTG00193,H. Erik Jailani,4e$ND50B&6,(0014) 262 0370,Kasir
PTG00194,drg. Reza Namaga,%#b1lC*uvn,089 897 2117,Supervisor
PTG00195,Opan Nasyiah,PmpJuvA_(9,(0857) 082 0048,Kasir
PTG00196,Hari Kusmawati,n17TVHicv^,(088) 276-9704,Petugas Loket
PTG00197,Lanjar Thamrin,&U(1OIzO$l,+62 (179) 624-0964,Kasir
PTG00198,"Ir. Keisha Winarno, M.Pd",@LB4TTn_$E,0820893486,Supervisor
PTG00199,H. Jais Pradana,y)+0RN^@ne,+62 (36) 133-7605,Kasir
PTG00200,Drajat Gunawan,%5n@0RqA_),+62-440-966-1771,Admin
PTG00201,"Dr. Budi Rajata, M.Ak",Y9wYqrS*(8,+62 (66) 486-9893,Kasir
PTG00202,"Ratna Widodo, M.Ak",(BJ&D7Bq(7,+62 (360) 511-7160,Admin
PTG00203,Rafi Riyanti,(BZemQ7F%8,+62 (0894) 204-6648,Supervisor
PTG00204,drg. Mala Mandasari,K+m&0KOzR#,+62-890-623-5466,Kasir
PTG00205,"R.M. Sabar Usada, S.E.",%H&X5$Wj+1,(0746) 259-1601,Admin
PTG00206,Cecep Setiawan,t1m6kZzl+C,(077) 823 1299,Supervisor
PTG00207,Maimunah Budiman,I70%^7EwR4,+62 (968) 078-5254,Admin
PTG00208,R.M. Galak Mahendra,5B@k8W#y6a,+62-112-327-4897,Admin
PTG00209,"Wage Safitri, S.Pt",i*7ZgY#mTG,+62-80-196-3045,Admin
PTG00210,"Siska Nababan, S.Gz",C9n7sCZh&u,(0848) 165-2444,Kasir
PTG00211,"Yahya Tarihoran, S.T.",3rE6WBeS@%,+62 (87) 884 8699,Admin
PTG00212,drg. Rini Nuraini,(2yYen*ocw,0864242383,Petugas Loket
PTG00213,Dr. Elisa Nurdiyanti,3yySOHmv$z,+62 (21) 010-2320,Supervisor
PTG00214,Atma Nurdiyanti,(&P7NmlNG!,(014) 038 4531,Supervisor
PTG00215,Drs. Usyi Hardiansyah,*pZ4AqNzk#,+62 (05) 459-6715,Kasir
PTG00216,Unggul Gunawan,&&!6VA&moz,0851699497,Kasir
PTG00217,Karman Susanti,!JSY_RrY5W,0888917879,Kasir
PTG00218,Galih Dabukke,EoUs@N)f^9,0826041809,Petugas Loket
PTG00219,Dina Hidayanto,B5KLqb_9*k,+62 (099) 626 4222,Supervisor
PTG00220,Dr. Juli Mulyani,)rt7g1ObD9,082 092 2570,Supervisor
PTG00221,"Ratih Budiyanto, S.Gz",sIwLHwoM@6,+62-01-788-2247,Kasir
PTG00222,Bakijan Mansur,&kMN%rTdw1,(0115) 261 0537,Kasir
PTG00223,Rizki Purnawati,MlVcBbtn#3,+62 (0329) 876-9893,Admin
PTG00224,"drg. Jelita Mustofa, M.Ak",%4&Pyuy2BR,+62 (025) 896 3217,Kasir
PTG00225,Gabriella Tarihoran,r5qQyI8S*4,+62 (0883) 842-5364,Supervisor
PTG00226,Dina Namaga,!KK$EXEEb5,+62 (510) 740 9131,Admin
PTG00227,Baktianto Hariyah,y@C6Dt$d0(,+62 (020) 122 7595,Petugas Loket
PTG00228,"Cut Ajeng Manullang, S.Farm",+3f1rCak70,+62 (0071) 732-7980,Petugas Loket
PTG00229,Titin Rahayu,_anUy9c4A5,+62 (0520) 360 8941,Supervisor
PTG00230,Kemba Salahudin,_C9sxDh6FT,+62 (000) 679 9006,Admin
PTG00231,drg. Yunita Pudjiastuti,fN$1Rm7cf!,+62-0006-776-2550,Kasir
PTG00232,Caraka Usada,3G0Cp*R1%^,+62 (110) 090 6053,Kasir
PTG00233,Makuta Namaga,5+s&HQ_i(6,0875921299,Admin
PTG00234,"dr. Galang Marbun, S.Sos",!rHr_FQnM3,+62 (015) 238-0236,Admin
PTG00235,"Ella Januar, M.Ak",tQ)2OCl&+(,+62 (881) 959 7721,Petugas Loket
PTG00236,Puti Maryati,D5YlW3Sy!0,+62 (0540) 182 2720,Kasir
PTG00237,Cecep Puspasari,)9J_v%r8$a,+62 (993) 020-2030,Supervisor
PTG00238,Tania Maryadi,$Eud2EwsiP,(030) 059 3777,Kasir
PTG00239,Lala Padmasari,@^R+WIhcg9,083 104 3841,Petugas Loket
PTG00240,drg. Kania Marpaung,#vJ9%ICzIx,(021) 986 5504,Admin
PTG00241,Tgk. Victoria Rajasa,G%0OfTnAW0,+62 (042) 436 2585,Kasir
PTG00242,Samiah Maryadi,r@gw8cuYIQ,+62 (0338) 532 4725,Admin
PTG00243,"Asmianto Utama, M.Pd",ww#d$3HiO#,+62 (0757) 694 5353,Kasir
PTG00244,Kartika Pratiwi,4WPx%M8^*m,+62 (0815) 269-2559,Supervisor
PTG00245,Lala Sihombing,*q85DV(12h,+62-326-145-4307,Supervisor
PTG00246,drg. Gawati Wahyuni,s3ZgDREv*^,+62 (235) 426 8744,Kasir
PTG00247,"Hj. Sadina Wastuti, M.Kom.",Z01m@RPgm!,(056) 337 0140,Kasir
PTG00248,"Raden Gunawan, S.I.Kom",@#7QRcuNcf,(0316) 094 3913,Admin
PTG00249,"dr. Karsana Utami, S.Pt",)F*2QBtgZU,+62 (953) 322-2739,Admin
PTG00250,Tugiman Nurdiyanti,)pdnj9FaJ&,+62 (008) 708 2697,Petugas Loket
PTG00251,"R. Prakosa Mayasari, S.E.",@$6EomBdTT,+62 (0846) 735 7422,Petugas Loket
PTG00252,Yoga Pratama,+P2h9EfzpT,(029) 535 0637,Kasir
PTG00253,"R.A. Betania Yuliarti, S.IP",(0I5Nmpwja,+62-0626-084-6397,Supervisor
PTG00254,"Ghani Winarno, S.Pt",$BUl4ZpJf^,+62-91-969-3957,Petugas Loket
PTG00255,drg. Gatot Nashiruddin,m!7Za^qO_a,+62-0696-789-7609,Petugas Loket
PTG00256,drg. Darijan Hidayanto,5ly1KGPp#6,+62 (339) 431-9165,Supervisor
PTG00257,Fitriani Dabukke,()$(UojkF9,+62-002-687-6448,Admin
PTG00258,"Prabowo Fujiati, M.Kom.",&ur4mSod#p,+62 (373) 096 4969,Admin
PTG00259,Yono Hariyah,T1DGB$Fu*F,(036) 431-5948,Admin
PTG00260,Drs. Zaenab Purnawati,u^KA97luhM,+62-0934-497-4394,Kasir
PTG00261,Hani Budiyanto,4eP)Ff4U(8,+62-0210-972-0217,Kasir
PTG00262,"Dt. Jatmiko Simbolon, S.Pd",Y(5MGpj6$8,+62-0900-251-2137,Admin
PTG00263,Zamira Wijaya,G^C8Wtvx^U,0843456631,Supervisor
PTG00264,Darmana Namaga,(5nBb_g2L1,+62 (0379) 686-8008,Admin
PTG00265,"Ir. Galar Megantara, M.Farm",%+l6Ysr%7z,+62 (38) 502 2894,Admin
PTG00266,Kania Sirait,gki7)zY5_#,+62-030-334-6771,Kasir
PTG00267,"Talia Maheswara, S.Farm",*5AohBs%8F,0847230342,Supervisor
PTG00268,Cagak Namaga,%gzj&7Cz)$,+62 (0871) 775 4619,Petugas Loket
PTG00269,"Drs. Waluyo Najmudin, S.T.",!Ru+cLuq%6,(084) 482 3733,Supervisor
PTG00270,Queen Hutagalung,#1RxEdyclg,+62-039-251-9994,Kasir
PTG00271,"Kamila Nugroho, M.Ak",0^1G6Pd0E9,+62 (0963) 308 3344,Petugas Loket
PTG00272,Maimunah Budiyanto,P%C8@QpXFp,(0749) 266 3295,Kasir
PTG00273,Gina Santoso,#0PT@pHS_7,+62 (94) 115 6302,Admin
PTG00274,dr. Iriana Widiastuti,K+f+9Mhbw$,080 851 3313,Petugas Loket
PTG00275,"Kawaya Gunarto, S.Gz",e9R&ohnj%9,(086) 876-4019,Kasir
PTG00276,Karta Simbolon,Gzh8bRGb%v,085 664 6419,Admin
PTG00277,Tari Mustofa,(4uVf2@d$0,+62 (0789) 117-9726,Kasir
PTG00278,Ir. Rina Suryatmi,%+9WSqqJ@c,+62 (85) 386-3105,Supervisor
PTG00279,"Arsipatra Simbolon, S.E.",%!EcuoQh3X,(027) 633-2838,Kasir
PTG00280,drg. Samiah Putra,&7(YNmxH$*,+62-13-282-3392,Supervisor
PTG00281,Muni Namaga,(3pRCvLfIs,(059) 208-8143,Kasir
PTG00282,"R. Luthfi Mahendra, M.M.",)P7xJNdSAa,(086) 295 9125,Admin
PTG00283,Farhunnisa Samosir,)0CWSY!sA8,(0296) 694-1799,Supervisor
PTG00284,Nova Damanik,Wzc6RXUI(0,(073) 478-5369,Supervisor
PTG00285,KH. Kasusra Kurniawan,&74k0ZYsC0,+62-066-489-0082,Admin
PTG00286,Patricia Ramadan,4DRT8lCym^,0856302750,Supervisor
PTG00287,Abyasa Prabowo,iHVXmZ@x!5,(0846) 790 8701,Kasir
PTG00288,drg. Caraka Agustina,_3Fc08Ad6W,+62 (686) 524 0622,Kasir
PTG00289,Gaman Situmorang,)vi19)NpuZ,+62 (0845) 593-9652,Supervisor
PTG00290,Samsul Pradipta,O(3KD*apW!,+62 (073) 277 2648,Kasir
PTG00291,"Kenes Prayoga, M.Ak",bT0VAKDw^8,+62 (071) 050 8054,Supervisor
PTG00292,Puti Hana Hassanah,5*3jA4gp9I,+62 (0973) 449-3053,Petugas Loket
PTG00293,Oni Nasyidah,R3G^2nQd!v,+62 (278) 730-4862,Kasir
PTG00294,Silvia Haryanto,d^n3C2Do$P,+62-446-717-7629,Supervisor
PTG00295,"dr. Lanjar Haryanto, S.Pd",$3rYJxDXMe,0857390835,Kasir
PTG00296,Bakiono Hutasoit,Qs998Njvh(,0857595828,Petugas Loket
PTG00297,"Carla Rahayu, S.Gz",#CRabY^oR2,+62 (984) 451 4367,Petugas Loket
PTG00298,"R.M. Karman Wijaya, M.TI.",41RDFxjU@y,+62-09-921-7790,Kasir
PTG00299,Iriana Maulana,(m6NasR@fx,(001) 193 9103,Petugas Loket
PTG00300,"Drs. Dian Pertiwi, M.Kom.",%62UUkR*P),+62 (0373) 615-8736,Kasir
PTG00301,"dr. Cahyono Farida, S.Pt",W$355QxSyy,(0315) 663 9792,Admin
PTG00302,Jelita Latupono,@c$6PJhLpS,+62 (0281) 644-1610,Admin
PTG00303,Leo Hariyah,^YA3KF)rT!,+62 (76) 362 8144,Petugas Loket
PTG00304,"Emong Hasanah, S.IP",(3HIkIHds9,0849874551,Kasir
PTG00305,"R.A. Yance Sitompul, M.Pd",+72EpST(*7,088 187 3877,Admin
