ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000073,PTG07750,Paulin Natsir,2025-02-06,QRIS
TRX0000074,PTG02417,Siska Wahyuni,2024-12-19,Kartu Debit
TRX0000075,PTG06884,"Tina Mandasari, S.Ked",2025-01-31,Tunai
TRX0000076,PTG01660,Asmuni Wulandari,2025-07-06,Kartu Debit
TRX0000077,PTG07655,Warta Maheswara,2025-02-17,Tunai
TRX0000078,PTG06152,dr. Clara Hariyah,2025-03-16,Tunai
TRX0000079,PTG05402,"Ir. Cindy Maryati, S.Pd",2025-06-24,Transfer
TRX0000080,PTG03222,"Karja Nashiruddin, M.Farm",2025-01-14,Kartu Debit
TRX0000081,PTG01007,"Hani Yolanda, M.Pd",2024-12-28,Tunai
TRX0000082,PTG09821,"drg. Kala Saefullah, S.H.",2025-06-20,Transfer
TRX0000083,PTG06213,drg. Ifa Anggriawan,2025-10-01,Transfer
TRX0000084,PTG09884,drg. Vanya Hidayanto,2025-03-25,Kartu Debit
TRX0000085,PTG05558,Embuh Hariyah,2024-12-15,Tunai
TRX0000086,PTG04255,Ira Susanti,2025-08-17,Transfer
TRX0000087,PTG06685,"dr. Farah Maheswara, S.I.Kom",2024-12-18,QRIS
TRX0000088,PTG07041,Bakiadi Simbolon,2024-10-19,Transfer
TRX0000089,PTG09313,Dalima Nuraini,2025-02-01,Kartu Debit
TRX0000090,PTG09371,Darmana Pangestu,2025-08-08,Tunai
TRX0000091,PTG05650,"Mustofa Wastuti, M.TI.",2025-07-01,QRIS
TRX0000092,PTG05581,Endah Marbun,2025-05-17,Transfer
TRX0000093,PTG01223,"Hartaka Maulana, S.E.",2024-11-05,Tunai
TRX0000094,PTG09548,Natalia Salahudin,2025-02-17,Transfer
TRX0000095,PTG06481,Luhung Hartati,2025-04-29,Kartu Debit
TRX0000096,PTG02037,Carla Sudiati,2025-07-29,Transfer
TRX0000097,PTG05228,"R.A. Nilam Maulana, M.Ak",2025-02-21,QRIS
TRX0000098,PTG00185,"Ir. Dwi Hastuti, S.E.",2025-05-12,QRIS
TRX0000099,PTG08099,"Aris Latupono, S.Pt",2025-08-29,Kartu Debit
TRX0000100,PTG00955,"Tgk. Ratih Dabukke, S.Gz",2025-05-26,Transfer
TRX0000101,PTG00443,"Lalita Safitri, M.M.",2025-05-03,Kartu Debit
TRX0000102,PTG04046,"Julia Uwais, S.Sos",2025-03-17,QRIS
TRX0000103,PTG04574,Emas Lazuardi,2025-07-11,Kartu Debit
TRX0000104,PTG00785,Febi Pradana,2024-11-10,Tunai
TRX0000105,PTG07993,"drg. Wulan Widodo, S.E.",2025-06-25,Kartu Debit
TRX0000106,PTG04166,"Cut Farah Namaga, S.IP",2025-09-22,Tunai
TRX0000107,PTG07721,Gilda Mahendra,2025-04-01,Kartu Debit
TRX0000108,PTG08456,Safina Wasita,2025-08-12,QRIS
TRX0000109,PTG06259,Cinthia Sinaga,2025-09-10,QRIS
TRX0000110,PTG04232,Liman Kusumo,2025-01-26,Transfer
TRX0000111,PTG05130,"H. Marwata Laksmiwati, S.Gz",2025-09-16,QRIS
TRX0000112,PTG09447,Kamidin Gunawan,2025-03-29,Transfer
TRX0000113,PTG04045,"Elma Winarno, M.TI.",2024-12-30,QRIS
TRX0000114,PTG08724,H. Wawan Pradana,2025-06-03,Kartu Debit
TRX0000115,PTG09303,Eli Siregar,2024-12-15,QRIS
TRX0000116,PTG05052,H. Wawan Dabukke,2025-02-14,Kartu Debit
TRX0000117,PTG08955,"R.M. Olga Damanik, M.Pd",2025-07-28,Tunai
TRX0000118,PTG00083,Tira Purwanti,2025-09-18,Transfer
TRX0000119,PTG02902,"R.M. Oman Laksita, M.Ak",2025-01-05,Tunai
TRX0000120,PTG07263,Dr. Oliva Megantara,2024-12-03,Kartu Debit
TRX0000121,PTG04497,Maria Januar,2025-03-28,Kartu Debit
TRX0000122,PTG05949,"Dt. Eman Thamrin, S.Pd",2025-01-16,Transfer
TRX0000123,PTG01129,"Lukita Anggriawan, S.Pd",2025-03-07,Kartu Debit
TRX0000124,PTG06125,"Maria Wibowo, S.Gz",2025-04-18,QRIS
TRX0000125,PTG09266,dr. Julia Pangestu,2025-07-16,Kartu Debit
TRX0000126,PTG02181,Cornelia Palastri,2024-10-28,Kartu Debit
TRX0000127,PTG04329,Dartono Zulaika,2025-10-10,Transfer
TRX0000128,PTG03542,Virman Maheswara,2024-12-26,Transfer
TRX0000129,PTG04924,Daruna Yuliarti,2025-07-17,Tunai
TRX0000130,PTG02505,Bakijan Kusumo,2025-06-26,Transfer
TRX0000131,PTG04712,Umaya Wahyudin,2025-02-21,Transfer
TRX0000132,PTG07711,Jais Najmudin,2025-04-07,Tunai
TRX0000133,PTG03952,"Ika Mangunsong, S.E.",2024-11-16,Kartu Debit
TRX0000134,PTG05581,Yuni Susanti,2025-07-30,Transfer
TRX0000135,PTG06430,Maida Halim,2025-03-15,Kartu Debit
TRX0000136,PTG08400,Yoga Rahmawati,2024-12-01,QRIS
TRX0000137,PTG07825,"Dr. Paramita Riyanti, S.H.",2025-06-02,QRIS
TRX0000138,PTG03738,Gawati Mandala,2025-06-28,Tunai
TRX0000139,PTG06272,Victoria Budiman,2025-01-17,Tunai
TRX0000140,PTG03094,"Tgk. Mutia Maryati, M.Ak",2025-01-06,QRIS
TRX0000141,PTG06223,Leo Riyanti,2025-02-24,Transfer
TRX0000142,PTG03853,Najib Hutagalung,2025-07-05,Transfer
TRX0000143,PTG07936,Maida Sihombing,2024-12-21,Kartu Debit
TRX0000144,PTG06501,Puti Kamaria Mardhiyah,2025-04-29,Tunai
TRX0000145,PTG06166,Tgk. Arsipatra Wijayanti,2025-05-11,Transfer
TRX0000146,PTG08224,"Hj. Olivia Yulianti, S.Pd",2024-12-30,QRIS
TRX0000147,PTG08577,Heryanto Hartati,2025-02-22,Tunai
TRX0000148,PTG01974,"dr. Putu Prasetya, S.Kom",2025-10-08,Kartu Debit
TRX0000149,PTG02485,R.M. Daliono Wastuti,2025-04-09,Transfer
TRX0000150,PTG05541,dr. Unjani Usamah,2025-07-14,Tunai
TRX0000151,PTG02859,Vicky Tamba,2024-11-25,QRIS
TRX0000152,PTG07880,Titi Jailani,2025-03-13,QRIS
TRX0000153,PTG08492,"Gamanto Wulandari, S.E.I",2025-03-04,Tunai
TRX0000154,PTG05724,Balamantri Saragih,2025-03-06,Transfer
TRX0000155,PTG02943,"Narji Zulaika, S.Farm",2025-05-31,QRIS
TRX0000156,PTG07094,"Mariadi Palastri, M.Farm",2024-12-28,Tunai
TRX0000157,PTG06177,"drg. Ciaobella Simanjuntak, S.Kom",2025-09-20,Transfer
TRX0000158,PTG09919,"Anita Nainggolan, S.T.",2024-11-27,Tunai
TRX0000159,PTG08592,Intan Kuswoyo,2025-02-18,Tunai
TRX0000160,PTG08627,"Muni Farida, S.Pd",2024-12-31,QRIS
TRX0000161,PTG05750,"R.M. Raden Situmorang, M.M.",2024-10-24,QRIS
TRX0000162,PTG02817,"Hj. Faizah Simanjuntak, S.Ked",2025-07-19,Tunai
TRX0000163,PTG06415,"Ir. Dian Mayasari, M.Farm",2025-05-26,Tunai
TRX0000164,PTG09922,Harjaya Yuliarti,2024-10-29,Transfer
TRX0000165,PTG09999,Drs. Daryani Hutasoit,2025-02-03,Kartu Debit
TRX0000166,PTG00872,Hartaka Sitorus,2025-03-30,Tunai
TRX0000167,PTG07956,Respati Pratiwi,2025-07-05,QRIS
TRX0000168,PTG09449,"Cut Nadine Nuraini, S.Pt",2025-09-02,Transfer
TRX0000169,PTG05549,Tantri Dongoran,2024-12-22,Tunai
TRX0000170,PTG06575,Saiful Santoso,2025-08-17,Tunai
TRX0000171,PTG07981,"Tari Pertiwi, S.H.",2025-03-11,Kartu Debit
TRX0000172,PTG02964,Paris Agustina,2025-06-03,Transfer
TRX0000173,PTG08371,"Ir. Prasetyo Natsir, S.Pd",2025-08-17,Transfer
TRX0000174,PTG00520,Gatot Najmudin,2025-05-12,Kartu Debit
TRX0000175,PTG05758,Prasetyo Saputra,2024-11-04,Tunai
TRX0000176,PTG01854,Ihsan Kuswoyo,2025-01-08,Transfer
TRX0000177,PTG04915,Jarwi Yolanda,2025-10-14,Kartu Debit
TRX0000178,PTG05563,Gawati Wijaya,2025-03-20,Kartu Debit
TRX0000179,PTG09685,Kawaya Kusmawati,2025-04-15,Kartu Debit
TRX0000180,PTG09125,Cut Intan Maheswara,2025-06-14,Tunai
TRX0000181,PTG00197,Ciaobella Setiawan,2024-11-05,Transfer
TRX0000182,PTG03054,dr. Jaiman Natsir,2025-02-23,Tunai
TRX0000183,PTG02251,Faizah Firmansyah,2024-11-10,Transfer
TRX0000184,PTG04245,Drs. Lalita Suryatmi,2025-01-17,Tunai
TRX0000185,PTG01624,Dr. Kani Thamrin,2024-11-21,Kartu Debit
TRX0000186,PTG03644,Yulia Rahayu,2025-07-28,Transfer
TRX0000187,PTG09162,Ira Agustina,2025-03-31,Tunai
TRX0000188,PTG05230,Pardi Saragih,2025-01-19,QRIS
TRX0000189,PTG05051,Restu Wahyudin,2025-08-10,Transfer
TRX0000190,PTG01057,dr. Raina Mandala,2025-07-23,Transfer
TRX0000191,PTG04259,Galang Najmudin,2025-04-26,Kartu Debit
TRX0000192,PTG08004,Ir. Wadi Narpati,2025-02-13,QRIS
TRX0000193,PTG00155,Maria Marpaung,2025-10-12,Tunai
TRX0000194,PTG04729,Wardaya Uwais,2025-10-12,Tunai
TRX0000195,PTG04928,Darman Hassanah,2025-03-01,Transfer
TRX0000196,PTG07349,Najwa Widiastuti,2025-01-28,Tunai
TRX0000197,PTG04665,"Marsito Usada, M.TI.",2024-12-22,Tunai
TRX0000198,PTG01916,Asmuni Puspasari,2025-04-19,QRIS
TRX0000199,PTG08664,Banawa Hartati,2025-05-16,Kartu Debit
TRX0000200,PTG03674,Diana Rahimah,2025-03-30,Kartu Debit
TRX0000201,PTG00824,"Ega Nainggolan, M.Ak",2024-10-22,Kartu Debit
TRX0000202,PTG03804,Nadine Haryanti,2025-01-25,QRIS
TRX0000203,PTG00656,"Mursita Nugroho, S.T.",2025-03-22,QRIS
TRX0000204,PTG01304,"Drs. Yuliana Nurdiyanti, S.Gz",2025-01-14,Transfer
TRX0000205,PTG00597,Intan Kuswoyo,2025-01-10,Tunai
TRX0000206,PTG05726,"Puti Shania Firmansyah, S.Kom",2024-11-14,Kartu Debit
TRX0000207,PTG03050,Salwa Andriani,2025-07-08,Transfer
TRX0000208,PTG09263,"Edi Tampubolon, M.Ak",2025-03-25,QRIS
TRX0000209,PTG03376,"R. Wardi Iswahyudi, M.Kom.",2025-10-03,Transfer
TRX0000210,PTG07409,Hj. Alika Mandasari,2025-07-13,Tunai
TRX0000211,PTG08319,Gilang Handayani,2025-04-15,Transfer
TRX0000212,PTG03716,Mahfud Zulaika,2025-07-15,Transfer
TRX0000213,PTG02021,Syahrini Dongoran,2025-02-26,Kartu Debit
TRX0000214,PTG07967,Liman Suwarno,2024-12-07,Tunai
TRX0000215,PTG06859,Padmi Purnawati,2025-02-11,Transfer
TRX0000216,PTG09795,"Aswani Putra, M.TI.",2025-10-11,Kartu Debit
TRX0000217,PTG09020,"Daliman Saragih, S.Pt",2025-06-13,Tunai
TRX0000218,PTG07665,Intan Mandasari,2025-06-16,QRIS
TRX0000219,PTG05043,"Dr. Omar Sihotang, S.Pt",2024-11-13,Tunai
TRX0000220,PTG04706,Melinda Saputra,2025-02-22,QRIS
TRX0000221,PTG02119,"R. Usyi Uyainah, M.Pd",2025-02-01,Transfer
TRX0000222,PTG03598,Melinda Maheswara,2025-01-05,QRIS
TRX0000223,PTG02549,"Ellis Firgantoro, M.TI.",2024-11-07,Tunai
TRX0000224,PTG05164,Betania Widodo,2024-11-27,Kartu Debit
TRX0000225,PTG00801,"Cut Unjani Manullang, S.H.",2025-06-04,Transfer
TRX0000226,PTG03558,"Himawan Suryatmi, S.Farm",2025-06-10,Transfer
TRX0000227,PTG04931,"Oliva Wibisono, S.Pd",2025-08-02,Kartu Debit
TRX0000228,PTG05024,Kasusra Sirait,2024-11-09,Kartu Debit
TRX0000229,PTG08634,Harsaya Hartati,2025-02-26,Kartu Debit
TRX0000230,PTG09302,"Silvia Hartati, S.E.",2025-09-07,Transfer
TRX0000231,PTG08091,drg. Tantri Ramadan,2025-08-11,Tunai
TRX0000232,PTG09026,"Mustofa Hartati, S.Sos",2025-04-28,QRIS
TRX0000233,PTG05806,R.M. Rahman Zulkarnain,2025-09-03,Tunai
TRX0000234,PTG03768,R. Sarah Maryadi,2025-08-05,Kartu Debit
TRX0000235,PTG00889,R.A. Rahmi Susanti,2025-02-19,Transfer
TRX0000236,PTG05759,"Hj. Diah Januar, S.Farm",2025-10-09,Kartu Debit
TRX0000237,PTG09822,"R.A. Putri Marbun, S.T.",2025-01-01,Kartu Debit
TRX0000238,PTG08883,Bagas Agustina,2025-06-22,Tunai
TRX0000239,PTG09156,Gawati Anggriawan,2024-11-03,Kartu Debit
TRX0000240,PTG08294,"Laila Haryanti, S.Psi",2025-07-31,QRIS
TRX0000241,PTG01641,"drg. Ratih Suryono, S.Farm",2024-12-22,Kartu Debit
TRX0000242,PTG08389,"Dr. Danu Wijayanti, S.Psi",2025-10-17,Kartu Debit
TRX0000243,PTG07722,Aslijan Hastuti,2025-07-01,Transfer
TRX0000244,PTG03533,Tira Permata,2025-01-17,Kartu Debit
TRX0000245,PTG09767,"Ina Waskita, M.Pd",2025-10-16,Transfer
TRX0000246,PTG09357,"Kayla Adriansyah, M.Kom.",2024-12-10,QRIS
TRX0000247,PTG09747,Luwar Sinaga,2024-12-07,QRIS
TRX0000248,PTG08057,Carla Yolanda,2025-10-06,Transfer
TRX0000249,PTG00489,Intan Firgantoro,2024-11-15,Transfer
TRX0000250,PTG00842,Kamila Napitupulu,2024-10-22,Transfer
TRX0000251,PTG05185,Calista Hutasoit,2025-08-14,Transfer
TRX0000252,PTG01988,Genta Prasetya,2025-09-24,Tunai
TRX0000253,PTG04954,"drg. Heryanto Permata, S.Psi",2025-09-11,Tunai
TRX0000254,PTG01944,Dadi Kuswandari,2025-03-02,QRIS
TRX0000255,PTG06839,"Utama Hasanah, M.Pd",2025-05-16,Tunai
TRX0000256,PTG03972,Puji Kuswoyo,2025-01-07,Transfer
TRX0000257,PTG03995,Harjasa Handayani,2025-02-14,Tunai
TRX0000258,PTG03468,Carla Handayani,2025-09-02,Kartu Debit
TRX0000259,PTG03259,"drg. Viktor Widodo, M.Ak",2025-03-23,QRIS
TRX0000260,PTG09418,Gambira Sihombing,2025-09-07,Transfer
TRX0000261,PTG03526,Cut Shakila Utama,2025-01-28,QRIS
TRX0000262,PTG02202,"Hj. Kartika Marpaung, S.Ked",2025-09-25,QRIS
TRX0000263,PTG09949,"dr. Paris Marbun, S.Pt",2025-08-22,Transfer
TRX0000264,PTG07990,Luluh Siregar,2025-09-10,Tunai
TRX0000265,PTG00728,Lidya Usamah,2025-07-04,QRIS
TRX0000266,PTG01630,Vanesa Saptono,2025-03-15,Kartu Debit
TRX0000267,PTG06520,"Salimah Damanik, S.E.I",2024-11-17,Transfer
TRX0000268,PTG09108,Gaman Lailasari,2024-11-05,QRIS
TRX0000269,PTG01724,"Dt. Gamblang Uwais, S.IP",2025-10-08,Tunai
TRX0000270,PTG04096,Puti Ira Sudiati,2025-03-08,Tunai
TRX0000271,PTG01158,Puji Yuniar,2025-01-30,Kartu Debit
TRX0000272,PTG04496,Jelita Sitompul,2025-05-17,Tunai
TRX0000273,PTG04380,"R. Ika Widiastuti, M.TI.",2024-12-12,Tunai
TRX0000274,PTG03733,Joko Gunarto,2025-05-13,Kartu Debit
TRX0000275,PTG06558,"Drs. Kemba Pradipta, S.Pd",2025-07-28,Transfer
TRX0000276,PTG01891,Anita Utama,2025-03-29,Tunai
TRX0000277,PTG08656,Asmianto Pertiwi,2024-12-16,Tunai
TRX0000278,PTG07156,Cici Nashiruddin,2024-12-17,Tunai
TRX0000279,PTG04532,T. Irfan Mangunsong,2025-03-05,Transfer
TRX0000280,PTG08254,Ir. Puji Damanik,2024-12-17,Tunai
TRX0000281,PTG01767,Tari Prabowo,2025-09-23,QRIS
TRX0000282,PTG08398,Candrakanta Nababan,2024-12-29,Transfer
TRX0000283,PTG01146,"Pia Puspita, S.IP",2025-09-18,Tunai
TRX0000284,PTG02779,Alika Thamrin,2025-10-06,Tunai
TRX0000285,PTG06157,Endah Pranowo,2025-01-12,Transfer
TRX0000286,PTG04158,"Ir. Marsito Saputra, S.H.",2024-12-01,QRIS
TRX0000287,PTG01045,Labuh Gunarto,2024-12-19,QRIS
TRX0000288,PTG00343,Wadi Sudiati,2025-08-10,Tunai
TRX0000289,PTG06827,Jatmiko Hardiansyah,2025-09-27,Kartu Debit
TRX0000290,PTG04779,Laila Saputra,2025-01-18,Tunai
TRX0000291,PTG05570,Nrima Pratiwi,2025-06-05,Tunai
TRX0000292,PTG09917,"Azalea Nashiruddin, S.Psi",2025-06-15,QRIS
TRX0000293,PTG08102,"R.M. Olga Yulianti, M.M.",2024-11-28,QRIS
TRX0000294,PTG06322,Lega Suryatmi,2025-03-19,Tunai
TRX0000295,PTG01213,Garda Agustina,2025-09-15,Transfer
TRX0000296,PTG04141,Emong Irawan,2025-08-09,Transfer
TRX0000297,PTG01261,"Jabal Januar, S.Gz",2025-08-26,QRIS
TRX0000298,PTG03653,Luhung Lailasari,2025-01-16,Transfer
TRX0000299,PTG09849,"R. Novi Uwais, S.Ked",2025-07-30,Transfer
TRX0000300,PTG01537,Bakti Pratiwi,2025-10-19,QRIS
TRX0000301,PTG09583,"Tgk. Harsaya Saefullah, S.Ked",2024-11-16,Transfer
TRX0000302,PTG09905,Indra Rajata,2025-07-13,Transfer
TRX0000303,PTG08476,"Daliman Sihotang, S.Kom",2024-12-04,Transfer
TRX0000304,PTG02561,Mursita Sitorus,2024-12-12,Transfer
TRX0000305,PTG06014,Rika Nainggolan,2025-05-15,Kartu Debit
TRX0000306,PTG03969,"Cut Yani Latupono, S.Gz",2025-08-15,QRIS
TRX0000307,PTG07837,Mila Utama,2025-06-30,Transfer
TRX0000308,PTG07032,Amalia Farida,2025-09-27,Transfer
TRX0000309,PTG04426,Nasim Siregar,2024-11-25,Kartu Debit
TRX0000310,PTG01707,Hafshah Haryanto,2025-08-19,Transfer
TRX0000311,PTG09368,Dariati Pratama,2025-05-29,Tunai
TRX0000312,PTG06892,"Tari Prakasa, S.Farm",2025-04-13,QRIS
TRX0000313,PTG02727,H. Tirta Hassanah,2025-01-16,Kartu Debit
TRX0000314,PTG07245,dr. Kani Nugroho,2025-02-07,Transfer
TRX0000315,PTG00090,Makara Setiawan,2025-01-12,Kartu Debit
TRX0000316,PTG02216,Ir. Febi Sihombing,2025-09-22,QRIS
TRX0000317,PTG00167,"Jarwi Adriansyah, S.Pd",2025-09-23,Transfer
TRX0000318,PTG06489,drg. Irsad Permata,2025-06-30,QRIS
TRX0000319,PTG08603,Nadia Jailani,2025-08-27,Tunai
TRX0000320,PTG00204,Intan Farida,2025-07-20,Transfer
TRX0000321,PTG05818,Hartaka Hastuti,2024-11-04,QRIS
TRX0000322,PTG00151,"dr. Ganda Hutapea, S.Ked",2025-04-15,Kartu Debit
TRX0000323,PTG04410,"Salsabila Natsir, M.TI.",2025-09-14,Kartu Debit
TRX0000324,PTG07428,"Dr. Aris Nasyidah, S.Psi",2025-01-29,Kartu Debit
TRX0000325,PTG05994,Nadia Marbun,2025-05-17,Tunai
TRX0000326,PTG08061,Halim Wahyuni,2025-06-11,Transfer
TRX0000327,PTG07933,"Taswir Nainggolan, S.IP",2025-08-07,Kartu Debit
TRX0000328,PTG05135,"Ciaobella Puspita, M.Farm",2025-08-13,Transfer
TRX0000329,PTG02573,Kadir Kuswoyo,2025-01-31,Tunai
TRX0000330,PTG02160,Hj. Kezia Hasanah,2024-11-16,Transfer
TRX0000331,PTG06283,Aslijan Wibowo,2025-02-13,QRIS
TRX0000332,PTG05441,Ade Sihombing,2024-11-27,Kartu Debit
TRX0000333,PTG04796,"Mustika Kusumo, M.Farm",2025-09-19,QRIS
TRX0000334,PTG01778,Dr. Emas Kurniawan,2025-03-30,QRIS
TRX0000335,PTG09611,Qori Farida,2025-03-27,Transfer
TRX0000336,PTG00073,"Raina Kuswoyo, S.H.",2025-10-10,Tunai
TRX0000337,PTG01186,Rusman Siregar,2025-05-21,QRIS
TRX0000338,PTG00019,"Elma Wasita, S.Psi",2024-11-12,Transfer
TRX0000339,PTG09180,"Uda Pertiwi, S.T.",2025-09-12,Transfer
TRX0000340,PTG04162,Caket Sitorus,2024-12-09,Tunai
TRX0000341,PTG03900,Nabila Laksita,2025-02-26,Tunai
TRX0000342,PTG09573,R.M. Viktor Suwarno,2025-04-11,Transfer
TRX0000343,PTG02264,Jamalia Maryadi,2025-06-29,Transfer
TRX0000344,PTG05069,Daliman Maryati,2025-04-13,Transfer
TRX0000345,PTG06328,Elma Winarno,2025-03-20,QRIS
TRX0000346,PTG04925,Dinda Santoso,2025-08-16,QRIS
TRX0000347,PTG06287,Kamal Siregar,2025-05-07,Kartu Debit
TRX0000348,PTG03284,Novi Jailani,2025-02-11,Tunai
TRX0000349,PTG09724,"Tgk. Uli Maryati, S.Psi",2025-09-23,Tunai
TRX0000350,PTG06208,"R.M. Yahya Mulyani, S.Pd",2025-05-04,Kartu Debit
TRX0000351,PTG09354,Adika Tarihoran,2025-06-12,QRIS
TRX0000352,PTG09002,Jessica Laksmiwati,2025-03-22,Tunai
TRX0000353,PTG04701,Galang Mansur,2024-12-23,QRIS
TRX0000354,PTG00310,drg. Kani Safitri,2025-09-18,Kartu Debit
TRX0000355,PTG06662,Nova Ardianto,2025-05-26,QRIS
TRX0000356,PTG05101,"R.A. Hilda Melani, M.TI.",2025-08-22,Kartu Debit
TRX0000357,PTG06043,Aurora Usada,2025-09-13,Tunai
TRX0000358,PTG05431,Asmadi Utama,2025-08-13,Kartu Debit
TRX0000359,PTG01541,Irnanto Novitasari,2025-03-12,Kartu Debit
TRX0000360,PTG09464,Alambana Suryatmi,2025-04-28,Transfer
TRX0000361,PTG03799,Kayun Zulaika,2025-05-21,Tunai
TRX0000362,PTG00208,R.A. Eka Sihombing,2024-12-05,Transfer
