ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00049,"KH. Galang Usada, M.Ak",!8OvyT$mQY,(0196) 914 0843,Admin
PTG00050,Icha Sirait,4+l0OPswL^,081 004 0409,Petugas Loket
PTG00051,Gasti Kuswoyo,7!h1Zd^%Y3,+62 (07) 411-3284,Supervisor
PTG00052,Mahmud Palastri,$!v_6I@ex_,0813404854,Kasir
PTG00053,"Karimah Tampubolon, S.Ked",hxggh2LF%_,+62 (040) 492 8679,Admin
PTG00054,Azalea Halim,D2L0SiUi&2,081 690 4545,Admin
PTG00055,"Drs. Mursinin Narpati, S.Ked",(GafAnDr86,(008) 968-0666,Admin
PTG00056,Safina Pradana,BEj0uMmNC#,0806696936,Supervisor
PTG00057,"Cornelia Anggriawan, S.Ked",7FeCekCj@9,+62 (0396) 415 1425,Supervisor
PTG00058,"drg. Diana Jailani, M.Farm",A!G9hbHjT0,+62 (090) 800 6005,Petugas Loket
PTG00059,Asirwada Utami,#&1nTD@fi6,+62 (479) 264 4838,Admin
PTG00060,Asirwanda Nababan,eW6vCBucx$,082 382 4308,Petugas Loket
PTG00061,Heryanto Prasetyo,2Jh6X4Wm)l,+62 (0073) 878 0971,Kasir
PTG00062,Marsito Lazuardi,TAPX#NwA*4,(0966) 491 2604,Supervisor
PTG00063,Hesti Najmudin,_5t@NQMsaq,(022) 381-9379,Supervisor
PTG00064,Kani Budiyanto,%&WSYAq#(4,+62 (406) 782 6373,Kasir
PTG00065,"Taswir Sinaga, S.E.",*sUeFjYi3j,(080) 285 3471,Kasir
PTG00066,Hasna Samosir,q4cPTkqc%R,(015) 634 4254,Kasir
PTG00067,Pranata Astuti,!4dHv*lm&x,+62 (906) 759-2566,Petugas Loket
PTG00068,Farhunnisa Suwarno,i0@iO9Tw)V,(0674) 997-6797,Petugas Loket
PTG00069,Winda Mayasari,H45JW59z@g,(059) 871 1840,Supervisor
PTG00070,Ajimin Mahendra,ib5O#JdT*o,(051) 584 1955,Kasir
PTG00071,Xanana Yulianti,!k15Ofe65^,(096) 201 2028,Admin
PTG00072,"R. Kani Dongoran, S.IP",W^0K3k9_He,(0612) 863 5161,Petugas Loket
PTG00073,"Pranawa Siregar, S.Gz",9es5tNqrq^,(0723) 264 1818,Kasir
PTG00074,"Sutan Prima Santoso, M.M.",+26ZTAuk0e,+62-877-224-2884,Petugas Loket
PTG00075,Jaswadi Halim,(yZDmKFpv0,(084) 703-1181,Petugas Loket
PTG00076,Adika Susanti,ygRc3bi^_1,(0614) 535-9055,Admin
PTG00077,"Ir. Asman Saefullah, S.E.I",yc%6X#CpHJ,(0478) 432-7267,Admin
PTG00078,Rusman Kusumo,iW0f29qiQ^,+62-0089-578-7135,Supervisor
PTG00079,"Marsudi Firmansyah, S.Psi",^v2Amptjdf,+62 (63) 564 4336,Kasir
PTG00080,Carla Halim,c9SkQ9Yli@,+62-0770-666-1298,Kasir
PTG00081,"Maimunah Pertiwi, M.Pd",2i6Ed9TXC*,+62 (0946) 801-0467,Supervisor
PTG00082,Kartika Hastuti,)13T%RzQ*S,+62 (037) 858 5738,Supervisor
PTG00083,"Tgk. Kartika Siregar, S.Kom",x0Li_M%Y@n,+62-57-854-2224,Admin
PTG00084,"R. Kani Damanik, S.Pt",RIzJ+Sjt_3,+62 (030) 510 5094,Admin
PTG00085,"Ir. Karya Laksmiwati, M.M.",#f5JwxXQxl,+62 (045) 910-2748,Kasir
PTG00086,"Murti Safitri, M.Kom.",^2FJ)XpIJg,087 862 7922,Supervisor
PTG00087,"R. Dadap Dabukke, S.Pt",2rGvYp0J*r,+62 (082) 271-0905,Supervisor
PTG00088,"Jessica Santoso, S.Pd",_dTDiLwCg9,(060) 875-6625,Supervisor
PTG00089,Mala Haryanto,BdoE%urW(0,(002) 448 7411,Kasir
PTG00090,Hasim Lestari,)62Lf7g3wI,+62 (0287) 221 2261,Admin
PTG00091,Cahyadi Prayoga,vt(4VoNL67,0862977347,Admin
PTG00092,"T. Lantar Marbun, M.TI.",^mlqTmNg_0,(048) 733-4929,Admin
PTG00093,Nasim Prasetyo,(Z+Q#dPjg9,+62 (0196) 140-4503,Kasir
PTG00094,drg. Capa Sihombing,Q*d5J+qk+%,+62 (845) 646 3717,Petugas Loket
PTG00095,Harjo Farida,Il(k8!Pb$e,085 741 1020,Kasir
PTG00096,dr. Bakiadi Putra,3KQ0G%Yh(r,+62-26-380-0113,Supervisor
PTG00097,Amelia Purwanti,Y!U7Zhs(+q,+62-089-197-4591,Petugas Loket
PTG00098,Tgk. Jarwa Utami,%&47jQPe2@,+62-91-422-3616,Kasir
PTG00099,"Sutan Irwan Setiawan, S.H.",Jf11LBkh^x,+62 (004) 430 9478,Kasir
PTG00100,Salsabila Uwais,8@Qgp9Bi7Q,+62-0888-646-6366,Petugas Loket
PTG00101,Paiman Putra,A5HNaN3u(6,+62 (074) 533 1453,Petugas Loket
PTG00102,Wardaya Irawan,^SB0_UrMA8,+62-13-357-7501,Admin
PTG00103,Irma Permata,U6kSjzah$%,+62 (80) 727 1683,Petugas Loket
PTG00104,Alika Maryadi,)986BYOcEc,+62 (640) 682-8670,Admin
PTG00105,Radika Wibowo,sG#66WAgTz,+62-0486-697-8118,Petugas Loket
PTG00106,Kamila Habibi,Ml1U&m1xv(,+62 (029) 199 8138,Petugas Loket
PTG00107,Diana Thamrin,l1$jIZc5^H,+62 (0920) 104-9121,Admin
PTG00108,Emong Saputra,t*6$WUUr4h,+62-50-908-9717,Admin
PTG00109,Damar Wahyuni,+C+^6Wv_7k,+62 (012) 387-0150,Supervisor
PTG00110,Dono Prasetya,%ipc0N7oeY,+62 (09) 141-8965,Petugas Loket
PTG00111,Dadi Anggraini,@+G9YBMhMG,084 326 0034,Supervisor
PTG00112,Kairav Najmudin,6UCpKiYS(H,088 703 3736,Supervisor
PTG00113,Hendra Simanjuntak,#Xy5T*jWeh,084 192 3438,Kasir
PTG00114,Lintang Wahyuni,3fxVYscN_q,+62-0666-538-4426,Kasir
PTG00115,"Lasmono Mandala, S.Pt",Cr4Hq^hK$^,0853703074,Supervisor
PTG00116,"R. Nadia Natsir, S.E.",(l8AOt2lXH,0868276093,Admin
PTG00117,"Drs. Jais Anggriawan, S.H.",%#9QkNlE_L,+62 (0581) 085-8582,Admin
PTG00118,"dr. Gilda Pratiwi, S.T.",u7*AV8Rdo3,+62-076-493-9723,Kasir
PTG00119,"Ir. Almira Manullang, M.Kom.",QqenAeWi!9,(083) 040-4955,Admin
PTG00120,"Drs. Farhunnisa Lazuardi, M.Farm",l#9WDEo5eY,+62-153-990-0081,Admin
PTG00121,Maman Padmasari,DO7e7JZmn+,+62 (903) 901 3841,Supervisor
PTG00122,Jono Suwarno,eMa+5X4gj2,(0554) 370-6954,Supervisor
PTG00123,Rika Siregar,(k6YrXc!)g,(046) 032-8770,Admin
PTG00124,Shakila Agustina,_4bVl+Yj_v,(052) 807 7345,Petugas Loket
PTG00125,"Cinta Prasasta, S.Ked",Hm5vNdWe7#,(084) 953-3005,Petugas Loket
PTG00126,Ibrani Pudjiastuti,#6)1OfLmDG,+62 (81) 296 1357,Petugas Loket
PTG00127,"Ir. Limar Safitri, S.Sos",#U0FS!xTA%,+62 (002) 548 8575,Supervisor
PTG00128,Prabu Mandala,m*Qe1FYlzR,+62 (0534) 312 3022,Admin
PTG00129,Gading Latupono,FDrHn5+hB*,084 289 4879,Petugas Loket
PTG00130,Zalindra Sihotang,^(65YRj&vF,(0032) 619 8906,Kasir
PTG00131,Gina Mayasari,z6MmsQO__T,+62 (0405) 353-6048,Petugas Loket
PTG00132,Wulan Situmorang,ET77bGHt%&,+62 (017) 557 4217,Kasir
PTG00133,Mahesa Firmansyah,I#6I(0Nqm+,+62 (53) 863-0631,Supervisor
PTG00134,Ghaliyati Usamah,@*U6kdUF)2,+62-0632-805-2572,Supervisor
PTG00135,Dalimin Mayasari,x1YVne5h^G,(0723) 232-1678,Supervisor
PTG00136,Umi Hastuti,i&%!9jSv6T,+62-729-099-2016,Supervisor
PTG00137,Ophelia Nugroho,kCbH1X6x&i,+62-061-825-2822,Supervisor
PTG00138,Vicky Nugroho,CknUddz7(2,+62 (048) 407-5903,Kasir
PTG00139,"Zulaikha Saptono, S.Pd",brRaRF*c&7,+62 (058) 698 4481,Kasir
PTG00140,Soleh Damanik,l%@35FCtE5,0802429903,Petugas Loket
PTG00141,Elvina Prasetyo,#&BxzgVE1o,(0273) 941 6873,Petugas Loket
PTG00142,Rusman Mahendra,V0ZYEBte@2,0855508637,Supervisor
PTG00143,"dr. Ibun Safitri, S.Sos",pW44CQcc1),+62 (00) 535 1498,Supervisor
PTG00144,Eli Mangunsong,e(e(9iCdu3,(025) 769-3222,Admin
PTG00145,"Dr. Adinata Farida, S.T.",8eIe2Uf7!d,+62 (0983) 849 7002,Supervisor
PTG00146,Restu Mandala,L&Z7geKuow,+62-681-454-9123,Admin
PTG00147,Hesti Prasasta,^YYMs^j87w,+62 (61) 550 9761,Kasir
PTG00148,Pangestu Namaga,%iN%PJhQ3u,+62-0170-346-6520,Supervisor
PTG00149,Lamar Widodo,+1qPsdjsqd,+62 (022) 918 5468,Kasir
PTG00150,Irnanto Tamba,5K5RX&v#@m,(0012) 680-6133,Supervisor
PTG00151,Zulaikha Utami,E%5B$p4_^z,(0023) 692 3859,Kasir
PTG00152,Puti Laras Hastuti,u9CZto)_#^,+62-042-634-8142,Kasir
PTG00153,Balamantri Prayoga,WHuaxohy%8,+62 (0812) 000-3389,Admin
PTG00154,Maman Maulana,p6m4BAqU!U,(054) 819 7599,Petugas Loket
PTG00155,Karma Sinaga,+t(CtN&f1D,0833528046,Supervisor
PTG00156,Tiara Widiastuti,*cnY3REd50,(0018) 178-8953,Admin
PTG00157,Pangeran Budiyanto,ktvJCWvM(1,+62-0334-438-5438,Kasir
PTG00158,R.A. Vera Puspasari,4ERIem3i%!,+62 (912) 581 0706,Admin
PTG00159,Ihsan Wahyuni,pw56sX!cO+,+62-421-519-9624,Supervisor
PTG00160,Latika Megantara,&2T6Dhp(PJ,080 679 3289,Supervisor
PTG00161,Murti Pangestu,&#8c4WgnII,082 098 5579,Kasir
PTG00162,Vivi Aryani,c!EKqVXs(9,+62 (48) 001-1518,Supervisor
PTG00163,"KH. Aditya Natsir, S.Kom",B$O6kX2dA&,0837582976,Supervisor
PTG00164,Parman Maryadi,ulR49Jala#,(051) 201 6339,Kasir
PTG00165,Gilang Suryatmi,(6vmGZeuIV,(0450) 051-1904,Supervisor
PTG00166,KH. Cahyono Puspasari,^70AqiCPEH,+62 (0522) 441-4255,Kasir
PTG00167,Gatot Pradana,(4DjLpoIu6,(089) 318 4680,Petugas Loket
PTG00168,Lintang Setiawan,&^4Zcf9mfp,+62 (0977) 914 1198,Kasir
PTG00169,Alika Lestari,!8FR&Qxc_c,+62 (037) 744-3005,Admin
PTG00170,Aris Maryadi,u2En*FU+)6,(071) 535-5213,Petugas Loket
PTG00171,"Ir. Limar Aryani, S.E.",ggV6mBr)^5,+62-053-712-9341,Kasir
PTG00172,Kamaria Situmorang,_40BskWSaj,(004) 886-4769,Supervisor
PTG00173,Vivi Hastuti,_R9!Kx^K#H,+62-72-508-4985,Petugas Loket
PTG00174,Cinta Widiastuti,*1Yq&tu!oq,+62 (874) 703 3500,Petugas Loket
PTG00175,Tirtayasa Oktaviani,G)v8YqTvP*,+62-631-544-1306,Petugas Loket
PTG00176,drg. Keisha Widodo,Ej2VZIYn^@,086 503 2449,Supervisor
PTG00177,"Heryanto Hasanah, S.E.",+G8+O7oW&6,0880289572,Admin
PTG00178,"Cornelia Pradipta, S.Sos",XD&#2SjiOy,+62-40-380-1043,Supervisor
PTG00179,Restu Utama,QR#1VDlLYG,+62 (066) 006 4292,Petugas Loket
PTG00180,Gasti Manullang,#0hMcGE0Uf,+62 (0347) 676-7287,Kasir
PTG00181,Martana Purnawati,%bSSPOJ0)4,+62 (474) 329 8621,Kasir
PTG00182,Mahesa Damanik,s3AngHgp(i,(029) 104-1023,Admin
PTG00183,"Hj. Titi Hutapea, S.H.",w%NuwZYp_5,+62-0279-946-2673,Admin
PTG00184,Mursinin Permadi,&TSQec!L*5,+62 (58) 487-2057,Kasir
PTG00185,Erik Laksmiwati,!EJghA6pn8,(035) 558-9479,Kasir
PTG00186,Nadine Suwarno,*pkh$KOj@4,+62-33-647-9071,Admin
PTG00187,"Dr. Calista Utama, S.Gz",B!2TQpobS1,+62 (097) 424-4205,Petugas Loket
PTG00188,Anita Mandala,)$p67Kn4OP,+62 (0347) 494 1567,Petugas Loket
PTG00189,Upik Palastri,L45EF@zc%x,+62 (0692) 642 6289,Kasir
PTG00190,"Purwadi Rajasa, S.H.",xsB)h25P(2,(0239) 967 2446,Admin
PTG00191,Aris Suwarno,!4ILWLqz58,+62 (16) 117 5163,Supervisor
PTG00192,Prayitna Anggriawan,)j56fkJe*3,+62 (0836) 300 0591,Petugas Loket
PTG00193,"Drs. Lala Melani, S.Ked",zGI^9UncnB,+62 (476) 401-1630,Kasir
PTG00194,R.M. Mujur Napitupulu,%cn(zW@P*5,(0023) 785-4438,Petugas Loket
PTG00195,Sadina Siregar,q#Vp^6Td$D,082 303 0182,Petugas Loket
PTG00196,Elma Susanti,7&L4JW1n9n,+62-042-257-8815,Supervisor
PTG00197,Caturangga Lazuardi,I)x#1WUzLo,+62 (619) 531-7236,Petugas Loket
PTG00198,"Puti Ika Zulkarnain, S.Psi",_3yW0csQ+Q,+62-883-003-8575,Petugas Loket
PTG00199,Dr. Karen Mandala,9*6H4)Gx9N,+62-37-915-4391,Admin
PTG00200,Ganda Mulyani,9)%0o2Rp#^,+62-22-124-0564,Petugas Loket
PTG00201,"Irfan Sihombing, S.Kom",y3YbUql^$a,(056) 352 0462,Petugas Loket
PTG00202,Dadap Firmansyah,_O4YP2fY&c,+62 (0557) 594-1879,Supervisor
PTG00203,Maria Wastuti,$1KGos0(+z,+62-83-227-5222,Kasir
PTG00204,"Tgk. Ami Uyainah, S.T.",&An4H^CiK3,+62-88-987-4295,Petugas Loket
PTG00205,"Patricia Salahudin, S.IP",y5NxIOrr(1,+62 (043) 949 1429,Admin
PTG00206,Saiful Aryani,*y+gEXiI3o,(0128) 446 1060,Petugas Loket
PTG00207,Diana Waskita,#t(1bMSK0i,(0313) 236-0821,Petugas Loket
PTG00208,"R. Rahmat Susanti, S.Ked",@2HQGeZ1Xa,+62-0967-902-0356,Admin
PTG00209,Yahya Usamah,*V9LWObZa(,(0174) 563 7883,Supervisor
PTG00210,drg. Ika Winarno,$gc5WXj3pe,(055) 400 6701,Kasir
PTG00211,"H. Nrima Pertiwi, S.Farm",hTDo6MYxv),(025) 292 0183,Admin
PTG00212,Vera Natsir,2OAop+CY*j,+62-335-368-2853,Supervisor
PTG00213,Wani Mahendra,y%M4K*l(rm,+62 (003) 600 3154,Supervisor
PTG00214,H. Laswi Sihombing,TSwxKjvD@4,(0087) 075-7927,Petugas Loket
PTG00215,"Dt. Daliono Ardianto, M.Pd",xvF4SCa1%G,083 935 4523,Admin
PTG00216,Yance Wijaya,jU4PLRRl^F,(087) 768-9254,Supervisor
PTG00217,Kairav Mahendra,49!7YqAo$^,+62 (668) 178-0399,Admin
PTG00218,"Rafi Purnawati, M.Kom.",CofZl*8%(7,+62 (089) 683-0219,Admin
PTG00219,Viman Saputra,5dNyLH##&#,+62 (59) 736 6875,Admin
PTG00220,Uli Tamba,g&+7D7b%9p,+62 (0345) 774-6381,Kasir
PTG00221,Ir. Omar Kurniawan,k0E7Gv3w$A,+62-973-540-0543,Kasir
PTG00222,Zamira Marpaung,*TEE8gttv9,+62-83-878-4322,Supervisor
PTG00223,Ganda Sudiati,!%#R2qdkKE,+62 (13) 063 1420,Admin
PTG00224,Irma Latupono,!8vXZwtSp5,+62 (399) 698 0908,Petugas Loket
PTG00225,"T. Wira Winarsih, S.I.Kom",&2AXc&E1cQ,+62 (056) 091-3182,Supervisor
PTG00226,Uchita Sitompul,@Xml(*_g1B,(080) 324 5269,Petugas Loket
PTG00227,Dr. Luhung Maulana,+1K1LtsoEF,+62 (73) 158 8619,Kasir
PTG00228,Edi Sinaga,wF#3XUwm2I,+62-99-449-4094,Admin
PTG00229,Hj. Diana Wulandari,#H*Ux%LW16,+62-054-108-9283,Kasir
PTG00230,Harsaya Prakasa,QxB8lAO*n#,(0663) 294 7726,Admin
PTG00231,dr. Jelita Winarsih,$v+h5UR@2j,+62-0368-556-1420,Supervisor
PTG00232,"Tgk. Daruna Permadi, S.Pd",!H8Zcyyfe3,(0394) 968-5571,Supervisor
PTG00233,Malik Widodo,lbdF64H7*+,+62 (987) 345-2622,Admin
PTG00234,"Hj. Zulfa Widiastuti, S.IP",&o8s6PXg!7,(0475) 672 6968,Petugas Loket
PTG00235,"Ir. Aurora Halim, S.T.",3z6Zc3SA$x,(0784) 446-4691,Admin
PTG00236,Irnanto Maulana,A5xwXma8*I,+62 (054) 961-0369,Petugas Loket
PTG00237,"Dr. Nadine Widodo, M.Pd",f#u6R2ksqR,+62-0638-564-9316,Supervisor
PTG00238,"R.A. Nilam Gunarto, M.Kom.",nTe4u&Ck#+,(065) 450-5228,Admin
PTG00239,Dr. Martaka Januar,8^7RIC4i^o,+62 (42) 701 1713,Kasir
PTG00240,Zulfa Riyanti,unJ8VAXpy%,+62-035-586-2552,Admin
PTG00241,R. Lili Nashiruddin,&X1NbXYmTF,+62 (26) 067-2833,Supervisor
PTG00242,R. Reza Sinaga,s18Zre$T^0,+62-75-040-7311,Admin
PTG00243,"Drs. Kiandra Prabowo, S.IP",+q4OeJudc@,+62-857-802-8012,Admin
PTG00244,"Drs. Wulan Sudiati, S.IP",4MPBOp3h#5,(018) 162 1115,Supervisor
PTG00245,"Indra Laksita, S.Pd",q+i%f&k3HB,+62 (040) 364-0624,Kasir
PTG00246,Amalia Narpati,&^6uQdFKuM,0836831439,Petugas Loket
PTG00247,Bagus Lestari,CE+8)GQa2V,+62-511-563-4474,Kasir
PTG00248,H. Marsito Novitasari,Z#Mcg+#p*9,+62 (0488) 375-1857,Admin
PTG00249,Nadine Hasanah,(_7YIMqj$O,0834452119,Supervisor
PTG00250,Fathonah Simbolon,^$*8AhP97%,+62 (0996) 305-5610,Petugas Loket
PTG00251,"R.A. Nadine Riyanti, M.M.",ZI2TDVEy&D,+62-0806-495-1225,Kasir
PTG00252,Unjani Santoso,)GZAxvWQY7,082 917 3143,Admin
PTG00253,Jane Habibi,$fp51APjID,+62 (0760) 383 0456,Supervisor
PTG00254,"Maya Usada, S.I.Kom",f^V3jCc*&$,+62 (188) 999 0451,Supervisor
PTG00255,Bakiman Anggriawan,LCP4FD@nf@,+62 (31) 003-9636,Kasir
PTG00256,"Wadi Latupono, S.Ked",8%3Ybmvxzh,0856626705,Kasir
PTG00257,Lukita Mandala,433ZVpcV$9,+62 (069) 725-9333,Supervisor
PTG00258,R. Ridwan Widodo,C0aQh&NT(),(0357) 820-2780,Supervisor
PTG00259,"Kardi Fujiati, M.Pd",TLPF3OHv_Z,(001) 706-3093,Supervisor
PTG00260,Ana Siregar,&c&aWdQXq1,+62 (123) 033 5251,Supervisor
PTG00261,Prayoga Wijayanti,!5Pa+ZCk%9,+62 (057) 091 1319,Kasir
PTG00262,Drs. Hilda Habibi,L)2gOwy6B(,(095) 753 0480,Petugas Loket
PTG00263,"Asmadi Setiawan, S.IP",p4M!twF#_z,(0875) 043-9148,Petugas Loket
PTG00264,Ir. Elon Aryani,Y%*p2PuDUU,+62 (84) 278-7477,Supervisor
PTG00265,Kani Wibisono,I8j!SD3j&n,+62 (062) 752-0425,Admin
PTG00266,T. Tomi Utama,#1ZVJjmH&U,+62 (0162) 731 1488,Admin
PTG00267,Purwa Prasetyo,CF00ECbr%Y,(030) 851 0798,Petugas Loket
PTG00268,Dodo Nainggolan,VFqF&KFj@4,+62 (020) 376-3670,Admin
PTG00269,Murti Hassanah,KiM1EIGR)6,0808845155,Admin
PTG00270,Ivan Santoso,!0U3(Zc37o,0876941825,Petugas Loket
PTG00271,"Edward Kusumo, S.I.Kom",5e9M4Rqn@Q,+62-0722-182-0322,Petugas Loket
PTG00272,"Sutan Muni Usamah, M.Kom.",KK9EQrG$@4,+62 (412) 101-6168,Petugas Loket
PTG00273,"Jamil Wibisono, S.T.",^yYmHUds$7,+62 (439) 218 6043,Admin
PTG00274,Galak Sitompul,H_8F85gvCv,+62 (82) 512 5172,Petugas Loket
PTG00275,Sutan Opan Permadi,i7uRRDaz^i,+62-0970-523-8056,Supervisor
PTG00276,Taufik Wibisono,nj)V6KKk#9,0899552256,Petugas Loket
PTG00277,Pranawa Nasyidah,7oSQiAOK!#,+62-702-977-8561,Admin
PTG00278,Rosman Natsir,#O)Y5Y@ed&,+62 (039) 560 8675,Supervisor
PTG00279,Ibrani Nashiruddin,P#@i0$Qwq1,+62-0959-493-8940,Supervisor
PTG00280,Cici Yuniar,A8JG+hgM&T,(043) 005-4233,Kasir
PTG00281,Harimurti Farida,N^3g0OtqL!,0894277956,Admin
PTG00282,Rangga Simanjuntak,%yM3iX0cF6,+62 (61) 448 1519,Kasir
PTG00283,"Dt. Daru Fujiati, S.I.Kom",8e2CoYaps%,087 793 9127,Supervisor
PTG00284,Marwata Purnawati,)xBM4HLOT8,0825612829,Admin
PTG00285,Jane Tamba,qVti2DwLX@,(0770) 938-2020,Petugas Loket
PTG00286,"Mutia Kuswoyo, M.Pd",#V5rNHieJP,+62-10-466-3799,Kasir
PTG00287,Pardi Wulandari,5kAIArA@&x,+62-004-764-8220,Supervisor
PTG00288,Ikin Siregar,#3OMPpBeNu,(0379) 090-5961,Admin
PTG00289,"Dr. Aris Nurdiyanti, M.Farm",6C4$57Aw^x,083 479 8380,Supervisor
PTG00290,"Among Sihotang, S.Farm",1%)Lo0Bzf0,+62 (0634) 503-8425,Admin
PTG00291,Tira Rahmawati,Gx5f4sFrO&,+62 (0660) 450 9646,Supervisor
PTG00292,Gabriella Anggraini,pTr8MN4l3+,+62 (0376) 626 9896,Supervisor
PTG00293,Tania Natsir,#8Q9MkG_g1,+62 (0454) 571 4083,Admin
PTG00294,"dr. Rendy Nasyiah, S.Pd",+T^_3BOe7i,+62 (0190) 826-8280,Supervisor
PTG00295,Hani Suartini,++2ZaRrna(,0875318968,Kasir
PTG00296,dr. Yulia Hariyah,o@53Jr!lPb,+62 (324) 424-7256,Supervisor
PTG00297,R. Lintang Oktaviani,_Q@8PaVo6Y,+62 (13) 565 3675,Kasir
PTG00298,R.M. Prasetya Wastuti,t9OqGq$g$^,+62 (69) 513-5047,Admin
PTG00299,"Irma Firgantoro, M.TI.",&v0gQ9i)*$,(0559) 420 5116,Admin
PTG00300,"Dr. Emil Haryanto, S.Farm",qNEi0drgZ#,+62 (10) 915 6440,Supervisor
PTG00301,"KH. Cemeti Irawan, M.Ak",bY%6PwkP72,+62 (11) 432-4307,Petugas Loket
PTG00302,Upik Sinaga,#8DINcnzr2,(0910) 386-1824,Petugas Loket
PTG00303,"KH. Darmaji Wacana, S.Farm",4@oDU*dz@X,+62 (057) 494-1769,Petugas Loket
PTG00304,Prakosa Iswahyudi,L&56vJ!a2c,+62 (0070) 182-7609,Supervisor
